sample_id	sample_coverm	Contig_name	Mean coverm	Trimmed Mean coverm	Variance coverm	RPKM coverm	Covered Bases coverm	Length coverm	Read Count coverm	Reads per base coverm	total_rpkm coverm	TPM coverm
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_5454_length_3837_cov_8.060550	13.106049	12.910816	68.43775	2.3495588	3758	3837	324	0.08444097	560324.9937567768	4.193207203282253
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_7523_length_3035_cov_6.849329	11.001733	10.053138	101.83738	2.0169592	3035	3035	220	0.072487645	560324.9937567768	3.599623829872405
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_8318_length_2814_cov_5.647698	7.0405407	5.1601334	108.41593	1.5425301	2814	2814	156	0.0554371	560324.9937567768	2.7529203893938274
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_8970_length_2661_cov_4.389486	6.9171643	6.74613	14.99473	1.244329	2661	2661	119	0.04472003	560324.9937567768	2.220727281246591
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_10638_length_2340_cov_2.980744	5.005936	4.8422923	7.240257	0.8918227	2340	2340	75	0.032051284	560324.9937567768	1.591616847252611
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_10874_length_2299_cov_3.788324	6.1656585	6.024806	5.8347425	1.1013758	2299	2299	91	0.039582428	560324.9937567768	1.965601770885987
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_12654_length_2054_cov_30.015008	47.26891	47.337223	33.102634	8.507312	2054	2054	628	0.3057449	560324.9937567768	15.182817284236323
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_12949_length_2023_cov_6.809959	10.513615	10.606995	15.912343	1.8568252	2023	2023	135	0.06673258	560324.9937567768	3.313836114199828
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_13783_length_1931_cov_4.439232	6.9213924	6.804117	6.793818	1.2392226	1922	1931	86	0.04453651	560324.9937567768	2.211613998675054
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_14707_length_1839_cov_82.317825	115.39076	117.11767999999999	464.1019	20.622784	1839	1839	1363	0.7411637	560324.9937567768	36.805040342269365
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_15685_length_1752_cov_53.463170	83.310234	83.53537	129.948	14.833578	1752	1752	934	0.533105	560324.9937567768	26.473168545536787
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_16073_length_1721_cov_3.585834	5.693189	5.6367493	6.8803296	0.98623884	1721	1721	61	0.03544451	560324.9937567768	1.7601193075247716
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_16270_length_1706_cov_6.815869	11.429949	11.31455	20.526918	2.0061307	1706	1706	123	0.07209848	560324.9937567768	3.5802984381432243
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_16377_length_1699_cov_4.069343	6.2885733	6.3089604	7.0801086	1.0972728	1699	1699	67	0.039434962	560324.9937567768	1.9582792347762004
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_16604_length_1684_cov_2.259055	3.6029987	3.6027496	1.9668797	0.6444002	1670	1684	39	0.023159144	560324.9937567768	1.1500472175612395
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_19402_length_1496_cov_3.360167	5.587667	5.5462046	7.5644283	0.9485751	1396	1496	51	0.03409091	560324.9937567768	1.6929016384583284
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_21250_length_1399_cov_9.161458	14.297838	14.250667	12.194875	2.5855849	1399	1399	130	0.092923515	560324.9937567768	4.614437922293251
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_21267_length_1399_cov_2.551339	4.46277	4.4195557	2.6783009	0.79556453	1381	1399	40	0.02859185	560324.9937567768	1.4198269555424023
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_22874_length_1327_cov_2.563679	4.2693286	4.3006597	1.7207679	0.7338888	1327	1327	35	0.026375283	560324.9937567768	1.3097556028681507
