	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD2_ita_i	CD3_ita_i	CD4_ita_i	CS1_ita_i	CS2_ita_i	CS3_ita_i	CS4_ita_i	DD1_ita_i	DD2_ita_i	DD3_ita_i	DD4_ita_i	DS1_ita_i	DS2_ita_i	DS3_ita_i	DS4_ita_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD2_ita_n	CD3_ita_n	CD4_ita_n	CS1_ita_n	CS2_ita_n	CS3_ita_n	CS4_ita_n	DD1_ita_n	DD2_ita_n	DD3_ita_n	DD4_ita_n	DS1_ita_n	DS2_ita_n	DS3_ita_n	DS4_ita_n	CD1_spa_i	CD2_spa_i	CD3_spa_i	CD4_spa_i	CS1_spa_i	CS2_spa_i	CS3_spa_i	CS4_spa_i	DD1_spa_i	DD2_spa_i	DD3_spa_i	DD4_spa_i	DS1_spa_i	DS2_spa_i	DS3_spa_i	DS4_spa_i	CD1_spa_n	CD2_spa_n	CD3_spa_n	CD4_spa_n	CS1_spa_n	CS2_spa_n	CS3_spa_n	CS4_spa_n	DD1_spa_n	DD2_spa_n	DD3_spa_n	DD4_spa_n
Acinetobacter	4732006.0	1075980.0	214269.0	311296.0	3517094.0	6664044.0	1625966.0	1605657.0	8591840.0	3316654.0	4037419.0	716963.0	2546567.0	3721766.0	4347233.0	5937376.0	3076607.0	6260348.0	6584869.0	4399764.0	21714.0	1758.0	132.0	42.0	9077.0	531.0	4317.0	2751.0	44955.0	54046.0	26889.0	1584.0	2777.0	782.0	19700.0	9167.0	14948.0	13854.0	17487.0	8544.0	357088.0	1397355.0	99410.0	230758.0	118645.0	126265.0	75871.0	127257.0	626453.0	1205129.0	1150357.0	954960.0	935700.0	11275.0	632234.0	310963.0	8923.0	10391.0	2933.0	4004.0	435.0	1628.0	1078.0	1078.0	4383.0	14103.0	9066.0	10304.0
Moraxella	197517.0	65166.0	13442.0	32454.0	189422.0	222705.0	29223.0	104772.0	196024.0	49514.0	72685.0	6009.0	114064.0	105892.0	104122.0	290126.0	144907.0	238174.0	195342.0	223274.0	876.0	100.0	7.0	2.0	460.0	20.0	68.0	295.0	1012.0	908.0	596.0	25.0	118.0	13.0	377.0	399.0	769.0	443.0	536.0	423.0	233360.0	204944.0	9131.0	20624.0	18487.0	6988.0	4325.0	19074.0	78038.0	70477.0	406199.0	204931.0	128357.0	14846.0	242157.0	59475.0	2321.0	1510.0	220.0	169.0	45.0	76.0	52.0	132.0	377.0	608.0	1752.0	2184.0
Psychrobacter	8699.0	4916.0	7653.0	2286.0	36402.0	34006.0	41496.0	31189.0	95880.0	181690.0	110635.0	53641.0	4438.0	16657.0	11974.0	16301.0	55713.0	171132.0	107839.0	57591.0	61.0	21.0	12.0	1.0	82.0	2.0	125.0	51.0	481.0	3229.0	856.0	137.0	4.0	3.0	64.0	25.0	266.0	306.0	283.0	105.0	26757.0	70035.0	260337.0	1807692.0	28613.0	16622.0	20181.0	27475.0	167100.0	37352.0	72797.0	40217.0	41675.0	1924.0	48336.0	15544.0	353.0	464.0	2809.0	9890.0	139.0	478.0	349.0	366.0	808.0	322.0	358.0	432.0
Aquirhabdus	223.0	29.0	13.0	18.0	72.0	164.0	152.0	69.0	94.0	48.0	83.0	40.0	137.0	300.0	196.0	137.0	99.0	103.0	250.0	154.0	2.0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	7.0	17.0	17.0	47.0	9.0	3.0	5.0	8.0	43.0	40.0	78.0	37.0	20.0	1.0	22.0	9.0	0	1.0	0	2.0	0	0	0	0	1.0	0	0	0
Aeromonas	540255.0	155474.0	24075.0	61327.0	455606.0	2603934.0	39269.0	30583.0	580656.0	89708.0	16152.0	112240.0	408489.0	331777.0	380676.0	653009.0	306800.0	326707.0	542114.0	1253223.0	5034.0	274.0	13.0	11.0	2068.0	306.0	170.0	82.0	4463.0	3037.0	297.0	649.0	1173.0	151.0	3191.0	1879.0	2640.0	1860.0	3372.0	6903.0	35447.0	73972.0	13590.0	30797.0	6581.0	11598.0	9640.0	14040.0	330044.0	558486.0	247645.0	613666.0	46206.0	1592.0	68025.0	17473.0	1815.0	1277.0	375.0	881.0	32.0	143.0	188.0	146.0	4550.0	10824.0	8140.0	20525.0
Tolumonas	576.0	115.0	50.0	34.0	359.0	841.0	393.0	125.0	203.0	121.0	173.0	63.0	316.0	537.0	1018.0	675.0	392.0	351.0	784.0	976.0	8.0	1.0	0	0	0	0	3.0	0	3.0	1.0	2.0	0	0	0	8.0	4.0	5.0	3.0	4.0	4.0	40.0	52.0	24.0	46.0	11.0	20.0	21.0	18.0	368.0	239.0	178.0	343.0	124.0	5.0	67.0	63.0	0	0	1.0	2.0	0	0	1.0	0	4.0	10.0	6.0	14.0
Oceanimonas	408.0	54.0	32.0	20.0	314.0	800.0	439.0	189.0	82.0	76.0	113.0	40.0	428.0	710.0	916.0	585.0	585.0	316.0	1065.0	1174.0	6.0	0	0	0	1.0	0	0	0	0	1.0	3.0	1.0	1.0	0	8.0	0	1.0	1.0	7.0	2.0	37.0	29.0	35.0	36.0	10.0	14.0	16.0	18.0	216.0	170.0	91.0	148.0	49.0	6.0	60.0	58.0	0	0	0	0	0	0	0	0	1.0	6.0	1.0	0
Oceanisphaera	201.0	83.0	27.0	20.0	157.0	395.0	194.0	75.0	74.0	61.0	84.0	45.0	160.0	325.0	554.0	421.0	251.0	235.0	716.0	670.0	1.0	0	0	0	0	0	1.0	1.0	0	0	2.0	1.0	0	0	4.0	0	0	0	2.0	1.0	12.0	12.0	24.0	19.0	20.0	7.0	20.0	9.0	154.0	125.0	57.0	122.0	73.0	7.0	39.0	23.0	0	0	0	0	0	1.0	1.0	1.0	3.0	6.0	1.0	1.0
Zobellella	174.0	34.0	10.0	11.0	201.0	383.0	571.0	120.0	43.0	109.0	69.0	26.0	265.0	454.0	326.0	220.0	242.0	115.0	288.0	456.0	0	1.0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	3.0	1.0	2.0	0	2.0	0	11.0	19.0	20.0	12.0	6.0	9.0	12.0	14.0	146.0	86.0	61.0	95.0	25.0	3.0	39.0	24.0	0	0	1.0	0	0	0	0	1.0	1.0	1.0	0	1.0
Dongshaea	76.0	4.0	5.0	6.0	64.0	121.0	94.0	19.0	17.0	24.0	35.0	10.0	40.0	99.0	176.0	119.0	64.0	55.0	190.0	154.0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	2.0	2.0	0	0	1.0	2.0	0	1.0	6.0	6.0	5.0	0	10.0	4.0	62.0	40.0	28.0	41.0	30.0	0	11.0	7.0	0	0	0	0	0	0	0	0	2.0	1.0	1.0	0
