	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Acinetobacter	9397902	2062266	366301	553330	6730194	609599	13374662	2682510	3011495	98935	3004838	301354	17014852	157410	6363407	177787	7869902	96459	1268098	161003	4944731	1085601	7288724	2230346	8579866	2073040	11870985	1674983	6094359	1685003	12431942	1463	13123356	1214659	8804874	443936	21032	1773	135	42	8383	8213	526	9575	3739	2241	2522	3413	42085	504	52790	1659	25349	1182	1692	1086	2603	3695	739	12582	17160	8392	8817	8834	14594	10579	12723	422	16364	2296	8106	2960
Comamonas	1576680	34261	744	1533	1157640	2986	2739045	9569	24161	1835	68498	1801	56393	184	5136	604	3448	1898	813	734	1417035	682088	1889160	973031	2519147	199500	2580455	852418	2466612	62667	1944427	65	5231286	360508	7256641	39550	4217	94	2	1	1513	576	100	281	260	252	163	158	304	23	551	123	218	139	122	92	753	1781	205	5021	4611	1246	2464	5518	8295	914	1717	36	7524	548	6135	345
Aeromonas	997605	274220	15926	84063	840299	18800	5070506	84795	7367	1569	7359	11659	1112639	357	102796	1227	1983	789	148243	1828	742772	586530	567845	1056857	662364	441245	1215519	1150836	548202	41444	587671	17	989961	79782	2397953	3397	4515	259	14	11	1730	1585	287	1091	119	278	69	693	3609	28	2761	126	242	164	588	119	984	3517	121	9106	2408	6862	1685	16582	2369	661	1437	38	2769	555	5591	286
Flavobacterium	1760334	28248	688	1862	500523	509	106711	6889	1908603	2842	12507	1016	13551	1324	38092	336	38096	73	1218	146	1065596	689281	1808735	608662	4619237	135147	5180123	272256	616424	16612	360210	8	805212	7034	1159509	5581	8758	79	4	2	1395	232	32	147	2656	349	120	170	283	70	1156	154	540	106	122	92	1287	3729	318	7163	21916	1406	6338	5726	3501	665	895	42	2469	155	2635	442
Paracoccus	943937	11603	184	341	1921539	9051	852176	188236	2583378	192652	1393339	130411	14493	859	159428	651	68892	44	4289	239	2114084	1208716	3482377	529606	1776096	64106	563250	135525	1213342	3467	299011	36	1056384	4707	1109095	16139	1922	62	6	7	2365	360	56	624	1931	1331	787	728	183	37	3178	238	924	73	125	68	541	1526	209	2144	1821	670	430	892	3627	303	317	23	1579	73	1052	233
Streptococcus	1212112	1112162	351279	607539	21864	40634	32672	77788	290	231970	2407	120880	30109	21061	95458	1999	119595	26880	47646	29402	619311	258610	1461637	1003680	1799912	847355	2543147	1480671	845332	93141	2596182	13329	1984188	248905	1846711	92547	2692	824	36	8	73	242	12	267	14	1471	24	334	197	111	1136	93	593	147	107	193	316	682	147	3844	2802	1656	1729	4730	2097	674	2029	140	2202	498	1572	549
Aliarcobacter	3012858	34714	2794	17004	266804	1207	615317	232	45892	28	5514	32	90177	29	1552	178	175	3	1706	721	1250930	56556	1928559	11122	972801	4575	6857561	77617	2375726	10523	517762	376	2282591	79065	2417658	26771	8640	52	0	1	451	52	43	27	131	70	31	21	300	8	110	57	116	16	80	46	1050	646	287	303	2994	411	6499	1509	7615	184	771	30	3686	262	2944	362
Tessaracoccus	831507	305	20	12	3026	311	1261	11402	5511	11309	32268	38409	253	16	4494	172	2571	13	340	17	2633341	5572	2609530	1619	603601	140	596460	1600	199450	26	56077	0	181192	24	241688	759	1584	14	1	1	59	25	9	74	53	160	66	193	18	2	398	24	114	7	47	6	661	49	157	97	635	20	384	89	755	34	60	4	330	8	296	56
Corynebacterium	849934	132864	54627	133419	359910	12412	258974	84073	85945	127595	46246	336742	103868	126	612756	1138	394612	177	181417	565	1685778	228694	5093005	82005	1138221	7973	1202526	45105	1478879	14573	2140560	277	4287222	2201	3330158	40513	1705	210	27	7	540	143	18	245	240	540	151	816	422	17	5403	40	1451	37	241	38	453	466	273	558	1405	172	847	498	3359	352	1308	48	5244	43	2540	312
Acidovorax	515772	3308	137	211	400846	230	441173	1034	241993	90	13175	912	1173	1020	4640	162	273	805	40	535	824116	2060007	1931288	998777	1698559	196121	750181	418470	116062	10826	20734	16	262794	2654	377117	13752	1658	26	3	1	670	104	27	64	450	25	72	88	47	32	374	68	84	86	36	43	411	3145	135	4294	3359	533	772	1585	1226	246	101	22	1172	40	1346	141
