	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Aeromonas veronii	502068	176065	8139	48185	185601	183	717645	3160	375	39	840	1901	182123	17	7501	25	215	44	33249	38	384288	24928	225717	8382	263444	10536	581461	19157	325265	170	312760	0	461941	1038	1263520	96	2059	161	3	2	280	61	48	128	18	20	16	107	592	0	484	7	72	10	130	6	378	181	40	337	529	607	835	533	1326	36	474	4	913	37	2104	25
Aliarcobacter cryaerophilus	2156240	26536	2061	12563	198724	719	414567	110	35751	6	3821	10	66370	0	955	37	122	0	1061	339	917184	39712	1409791	7443	740880	2977	4681547	48159	1695216	7586	410351	259	1622096	63954	1797663	16341	7168	41	0	1	336	28	26	11	76	35	20	6	209	2	74	18	83	6	64	19	831	312	217	179	2116	219	5299	786	6244	126	595	17	2881	149	2316	166
Bacteroidales bacterium	169348	2200	3538	1102	4852	200	12566	1644	1633	39493	475	7356	1067	136	5515	196	262934	36528	7135	12384	66316	16904	591492	142727	85508	27706	22189	174127	39282	824	368225	172	108054	1774	57090	1211	1072	48	5	0	56	160	4	247	18	666	4	241	71	75	889	107	1661	604	132	459	143	557	116	1561	411	1200	162	1851	555	427	612	224	471	198	290	529
Tessaracoccus aquimaris	410731	86	0	0	164	26	96	766	939	736	11320	3893	15	0	182	0	130	6	28	0	1264040	2271	1009533	67	275152	24	277224	77	47934	0	11996	0	42155	0	64054	0	733	2	0	1	10	3	5	16	7	13	16	37	5	0	59	0	24	3	15	3	356	12	66	5	226	3	172	10	175	1	13	0	48	2	50	0
Rheinheimera sp.	495906	43	0	10	20188	0	84928	0	63687	0	297	0	2129	6	2835	26	256	15	24	0	206901	25814	150294	25428	1686768	399	477570	1553	107547	23452	141290	0	445308	0	796581	277	2624	2	0	0	144	5	20	3	260	3	18	3	49	4	213	13	79	12	25	4	366	390	59	1157	8145	163	1542	342	1084	803	315	6	1084	21	1134	76
[Acidovorax] sp.	316907	207	21	9	21752	4	58630	273	21502	6	2072	32	114	22	216	0	10	77	13	70	364171	76026	738999	36451	432290	5227	401222	14225	387395	593	27744	8	532502	3569	1372949	582	1405	15	0	0	156	26	12	24	73	3	22	14	13	3	84	7	71	7	34	6	330	205	113	576	903	60	587	202	2547	57	40	10	951	22	1622	39
Granulicatella sp.	699575	1309	171	491	45779	486	10743	3960	1018	141	1996	16080	3727	47	300902	15	212229	0	6795	0	411025	87557	828678	37805	422092	590	522129	18039	115826	30	279197	0	455512	910	303476	22	1420	13	1	2	72	23	0	33	9	18	12	49	34	2	2493	7	678	0	44	2	191	88	53	114	562	7	332	59	286	4	195	0	430	7	239	0
Brachymonas denitrificans	222709	226	8	21	354686	0	375386	82	54	0	25588	0	64	0	6	6	0	0	184	0	352166	3329	594284	7582	285377	154446	121501	22376	233703	92	46674	0	384504	5489	411234	640	378	5	0	0	293	0	12	2	5	1	33	0	7	0	4	9	17	2	6	0	73	32	30	91	277	176	73	118	503	16	40	1	371	23	262	22
[Flavobacterium] sp.	884648	1343	38	70	19259	19	15522	45	234190	4	2121	0	230	15	191	6	344	0	0	16	398695	19734	163438	30237	2265825	8472	350220	10798	30422	1692	20949	0	124529	532	290932	220	4154	9	2	1	121	10	7	3	573	3	32	2	30	3	121	6	56	5	30	7	600	256	84	779	6853	150	1394	508	476	80	90	6	453	16	631	46
Streptococcus suis	602328	1034987	345472	590563	226	130	279	42	0	148	24	111	15386	68	70951	24	23216	31	15141	6	306653	7034	473861	68812	1131209	99399	1275022	97508	609905	1251	1189295	35	1384580	5834	1207964	2784	1319	655	27	6	7	9	7	5	0	13	7	16	72	3	594	4	111	7	36	5	117	61	54	287	1343	213	926	349	1380	37	747	2	1213	31	910	60
Acinetobacter sp.	140995	17787	1870	4151	73642	531	259014	727	30656	366	25388	673	466056	426	36103	360	40024	350	42799	530	85600	20402	100402	10973	227757	10209	283287	27610	54613	10978	135676	0	110291	8219	131929	2095	1145	61	4	1	529	84	49	68	150	33	109	61	1988	5	1794	37	694	25	106	21	131	105	39	295	670	189	616	356	700	282	491	3	570	85	400	122
