sample_id	Antibiotic_Family	Surface	abun	rela	highlight
CAR1_ita_i	Aminoglycoside	carcass	263.101412	0.31738111967995997	TRUE
CAR1_ita_i	Amphenicol	carcass	13.18004	0.01589917675024359	TRUE
CAR1_ita_i	Beta-lactam	carcass	57.211527	0.06901467521527502	TRUE
CAR1_ita_i	Folate pathway antagonist	carcass	83.163745	0.10032102186087347	TRUE
CAR1_ita_i	Lincosamide	carcass	14.509856000000001	0.01750334332555762	TRUE
CAR1_ita_i	Lincosamide, Streptogramin A, Pleuromutilin	carcass	80.2041	0.09675078087731234	TRUE
CAR1_ita_i	Macrolide	carcass	99.28482	0.11976799021824817	TRUE
CAR1_ita_i	Macrolide, Lincosamide, Streptogramin B	carcass	9.091557	0.01096721039374041	TRUE
CAR1_ita_i	Macrolide, Streptogramin B	carcass	48.989469	0.059096347699368064	TRUE
CAR1_ita_i	Oxazolidinone, Amphenicol	carcass	2.019231	0.0024358128327813203	FALSE
CAR1_ita_i	Tetracycline	carcass	158.220498	0.1908625211466401	TRUE
CAR2_ita_i	Aminoglycoside	carcass	43.337502	0.1854810106700699	TRUE
CAR2_ita_i	Beta-lactam	carcass	37.373532	0.15995570043862237	TRUE
CAR2_ita_i	Folate pathway antagonist	carcass	11.324731	0.04846893462956566	TRUE
CAR2_ita_i	Fosfomycin	carcass	6.954617	0.029765199433581784	TRUE
CAR2_ita_i	Lincosamide	carcass	9.36387	0.040076607816093034	TRUE
CAR2_ita_i	Lincosamide, Streptogramin A, Pleuromutilin	carcass	9.056317	0.038760305799548284	TRUE
CAR2_ita_i	Macrolide	carcass	47.289365000000004	0.20239466534425152	TRUE
CAR2_ita_i	Macrolide, Lincosamide, Streptogramin B	carcass	1.480717	0.006337349247225968	TRUE
CAR2_ita_i	Macrolide, Streptogramin B	carcass	39.530007	0.16918523938354676	TRUE
CAR2_ita_i	Tetracycline	carcass	27.938608000000002	0.11957498723749468	TRUE
CAR3_ita_i	Aminoglycoside	carcass	13.817586	0.13037140527677893	TRUE
CAR3_ita_i	Beta-lactam	carcass	3.946919	0.037239889554052275	TRUE
CAR3_ita_i	Folate pathway antagonist	carcass	4.863431	0.045887344861588	TRUE
CAR3_ita_i	Fosfomycin	carcass	4.570279	0.04312140309725244	TRUE
CAR3_ita_i	Lincosamide	carcass	22.358948	0.21096068960746298	TRUE
CAR3_ita_i	Lincosamide, Streptogramin A, Pleuromutilin	carcass	4.219819	0.03981475006152681	TRUE
CAR3_ita_i	Macrolide	carcass	12.393203	0.11693209588059682	TRUE
CAR3_ita_i	Macrolide, Lincosamide, Streptogramin B	carcass	1.310139	0.01236139674020584	TRUE
CAR3_ita_i	Macrolide, Streptogramin B	carcass	12.393203	0.11693209588059682	TRUE
CAR3_ita_i	Tetracycline	carcass	26.112797	0.24637892903993916	TRUE
CAR4_ita_i	Aminoglycoside	carcass	15.484982	0.15324310284501472	TRUE
