sample_id	genus_diamond	Surface	abun	rela	highlight
CAR1_ita_i	Acinetobacter	carcass	53.422975	0.06444451777451696	TRUE
CAR1_ita_i	Aeromonas	carcass	37.756451999999996	0.045545878753788904	TRUE
CAR1_ita_i	Bacteroides	carcass	5.210138	0.006285026825044584	FALSE
CAR1_ita_i	Moraxella	carcass	8.2109	0.009904867540506332	FALSE
CAR1_ita_i	Shewanella	carcass	5.377989	0.006487506689802593	FALSE
CAR1_ita_i	Streptococcus	carcass	26.934941	0.03249181244642526	TRUE
CAR1_ita_i	Unknown	carcass	692.06286	0.8348403899699153	TRUE
CAR2_ita_i	Acinetobacter	carcass	31.957806	0.13677683027688176	TRUE
CAR2_ita_i	Aeromonas	carcass	15.195795	0.06503677610525856	TRUE
CAR2_ita_i	Macrococcus	carcass	3.854779	0.016498142990100384	FALSE
CAR2_ita_i	Mammaliicoccus	carcass	6.954617	0.029765199433581784	TRUE
CAR2_ita_i	Moraxella	carcass	4.358255	0.018652979633156645	FALSE
CAR2_ita_i	Streptococcus	carcass	72.40321	0.30987989493619894	TRUE
CAR2_ita_i	Unknown	carcass	98.924804	0.42339017662482187	TRUE
CAR3_ita_i	Acinetobacter	carcass	3.946919	0.037239889554052275	TRUE
CAR3_ita_i	Mammaliicoccus	carcass	4.570279	0.04312140309725244	TRUE
CAR3_ita_i	Streptococcus	carcass	24.786406	0.23386419176119363	TRUE
CAR3_ita_i	Unknown	carcass	72.68272	0.6857745155875017	TRUE
CAR4_ita_i	Acinetobacter	carcass	8.300827	0.08214697864419053	TRUE
CAR4_ita_i	Aeromonas	carcass	3.195582	0.03162424735628867	TRUE
CAR4_ita_i	Mammaliicoccus	carcass	6.199014	0.06134693213977813	TRUE
CAR4_ita_i	Streptococcus	carcass	41.934962	0.4149984607387844	TRUE
CAR4_ita_i	Unknown	carcass	41.418091000000004	0.40988338112095823	TRUE
CD1_ita_i	Acinetobacter	clean drain	103.45922	0.43097369568083077	TRUE
CD1_ita_i	Aeromonas	clean drain	28.978344	0.12071330141857273	TRUE
CD1_ita_i	Microbacterium	clean drain	4.619048	0.0192412835423189	FALSE
CD1_ita_i	Mycolicibacterium	clean drain	3.713854	0.01547057269133709	TRUE
CD1_ita_i	Unknown	clean drain	99.288779	0.4136011466669405	TRUE
CD2_ita_i	Acinetobacter	clean drain	148.885989	0.23980152364448337	TRUE
CD2_ita_i	Aeromonas	clean drain	155.85228999999998	0.25102171706353027	TRUE
