sample_id	phylum_diamond	Surface	abun	rela
CAR1_ita_i	Acidobacteriota	carcass	7.034562	0.008485842576998782
CAR1_ita_i	Actinomycetota	carcass	24.255435	0.0292595051471046
CAR1_ita_i	Bacillota	carcass	228.308705	0.27541042776912833
CAR1_ita_i	Bacteroidota	carcass	14.362889	0.0173260559797337
CAR1_ita_i	Pseudomonadota	carcass	504.43122	0.6084989973566854
CAR1_ita_i	Unknown	carcass	50.583444	0.06101917117034914
CAR2_ita_i	Bacillota	carcass	111.026141	0.47518292225236436
CAR2_ita_i	Bacteroidota	carcass	4.183596	0.01790545321036874
CAR2_ita_i	Pseudomonadota	carcass	102.141975	0.43715940883803167
CAR2_ita_i	Unknown	carcass	16.297553999999998	0.06975221569923527
CAR3_ita_i	Bacillota	carcass	73.867562	0.6969537126318297
CAR3_ita_i	Bacteroidota	carcass	4.4207	0.041710098370804895
CAR3_ita_i	Pseudomonadota	carcass	18.537212	0.17490192413881622
CAR3_ita_i	Unknown	carcass	9.16085	0.0864342648585491
CAR4_ita_i	Bacillota	carcass	55.737409	0.5515907929180446
CAR4_ita_i	Bacteroidota	carcass	4.001833	0.03960310099085512
CAR4_ita_i	Pseudomonadota	carcass	34.723882	0.3436358802680013
CAR4_ita_i	Unknown	carcass	6.585352	0.065170225823099
CD1_ita_i	Actinomycetota	clean drain	8.332902	0.03471185623365599
CD1_ita_i	Pseudomonadota	clean drain	231.72634300000001	0.9652881437663441
CD2_ita_i	Actinomycetota	clean drain	7.318249999999999	0.011787056070207117
CD2_ita_i	Bacillota	clean drain	10.423628	0.0167886978022042
CD2_ita_i	Bacteroidota	clean drain	9.312487	0.014999051196949392
CD2_ita_i	Pseudomonadota	clean drain	586.935683	0.9453412776451079
CD2_ita_i	Unknown	clean drain	6.881691	0.011083917285531335
CD3_ita_i	Actinomycetota	clean drain	7.809215	0.03926424856403726
CD3_ita_i	Bacteroidota	clean drain	18.172297	0.09136918197123636
CD3_ita_i	Pseudomonadota	clean drain	172.90717899999999	0.8693665694647263
CD4_ita_i	Actinomycetota	clean drain	57.364136	0.5201480450771175
CD4_ita_i	Pseudomonadota	clean drain	52.920111999999996	0.4798519549228826
CS1_ita_i	Bacillota	clean surface	8.569447	0.014631126097598843
CS1_ita_i	Bacteroidota	clean surface	4.005353	0.006838577192716849
CS1_ita_i	Pseudomonadota	clean surface	570.967216	0.9748462572778565
CS1_ita_i	Unknown	clean surface	2.157741	0.003684039431827868
CS2_ita_i	Bacillota	clean surface	56.137678	0.14939438071920358
CS2_ita_i	Bacteroidota	clean surface	13.708248	0.03648058298216861
CS2_ita_i	Pseudomonadota	clean surface	281.431216	0.7489487226274735
CS2_ita_i	Unknown	clean surface	24.491195	0.06517631367115426
CS3_ita_i	Actinomycetota	clean surface	2.022239	0.0017189508540662595
CS3_ita_i	Bacillota	clean surface	496.668475	0.42217992002381355
CS3_ita_i	Bacteroidota	clean surface	148.181985	0.12595818282259597
CS3_ita_i	Campylobacterota	clean surface	4.24653	0.003609650674484071
CS3_ita_i	Pseudomonadota	clean surface	192.678497	0.16378126768317355
