#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_266	374448	11	N	N	1	*	*,266,*
contig_476	287729	10	N	N	1	*	*,476,*
contig_463	232112	10	N	N	1	*	*,463,*
contig_59	143462	7	N	N	1	*	*,59,*
contig_255	143302	10	N	N	1	*	*,255,*
contig_370	131252	8	N	N	1	*	*,370,*
contig_490	128796	11	N	N	1	*	*,490,*
contig_130	121346	39	N	N	1	*	150,130
contig_367	109345	8	N	N	1	*	*,367,*
contig_301	87851	11	N	N	1	*	*,301,*
contig_464	83818	11	N	N	1	*	*,464
contig_456	79234	10	N	N	1	*	-119,456,-264,*
contig_485	75140	7	N	N	1	*	*,485,*
contig_489	69611	8	N	N	1	*	*,489,*
contig_56	54603	6	N	N	1	*	*,56,*
contig_147	54181	17	N	N	2	*	147,139,139,139,139,139,140,141,134,134,134,135,136,137,144,144,144,144,144,144,144,144,144,144,144,144,144
contig_479	41815	8	N	N	1	*	*,479,*
contig_402	39378	6	N	N	1	*	*,402,*
contig_385	37708	5	N	N	1	*	*,385,*
contig_280	36125	9	N	N	1	*	*,280,-119
contig_447	34444	6	N	N	1	*	*,447,*
contig_468	33743	10	N	N	1	*	-231,-230,-229,468
contig_344	33683	5	N	N	1	*	*,495,344,*
contig_263	33651	7	N	N	1	*	*,263,-495,*
contig_360	31835	6	N	N	1	*	*,360,*
contig_356	30938	7	N	N	1	*	*,356,*
contig_503	30836	25	Y	N	1	*	503
contig_452	28197	5	N	N	1	*	*,452,*
contig_406	27224	3	N	N	1	*	*,406,*
contig_458	27223	6	N	N	1	*	458,*
contig_500	26295	9	N	N	1	*	*,500,*
contig_377	25981	6	N	N	1	*	*,377,*
contig_332	25002	14	Y	N	1	*	332
contig_389	24949	6	N	N	1	*	*,389,*
contig_268	20530	3	N	N	1	*	*,268,*
contig_430	20497	3	N	N	1	*	*,430,*
contig_328	19977	7	N	N	1	*	*,328,*
contig_454	19634	8	N	N	2	*	*,454,*
contig_282	19602	9	N	N	1	*	*,282,*
contig_334	19427	9	N	N	1	*	*,334,*
contig_461	18867	17	N	N	2	*	461,275,274,271,269,272,274,271,269,272,274
contig_495	18789	5	N	Y	1	*	*,495
contig_114	18680	3	N	N	1	*	*,114,*
contig_475	18539	8	N	N	1	*	*,475,*
contig_407	18030	5	N	N	1	*	*,407,*
contig_398	17751	4	N	N	1	*	*,398,*
contig_405	17562	7	N	N	1	*	*,405,*
contig_109	15851	3	N	N	1	*	*,109,*
contig_281	15658	8	N	N	1	*	*,281,*
contig_448	15649	3	N	N	1	*	*,448,*
contig_176	15641	3	N	Y	1	46	*,176,*
contig_431	15437	8	N	N	1	*	*,431,*
contig_152	15389	5	N	N	1	*	*,152,*
contig_237	15356	20	N	N	5	*	*,237,*
contig_477	15147	8	N	N	1	*	*,477,*
contig_129	14730	234	N	N	23	*	*,120,121,121,121,121,121,121,122,123,124,125,125,129,136,139,140,141,134,134,134,135,136,137,138
contig_345	14673	3	N	N	1	*	*,345,*
contig_366	14175	6	N	N	1	*	*,366,*
contig_518	14009	20	N	N	2	*	388,388,388,388,388,388,388,388,388,518
contig_228	13976	21	N	N	5	*	222,224,224,223,225,226,226,226,223,227,228,-525,-525,*
contig_221	13945	21	N	N	4	*	-218,-213,-216,-213,-213,-213,-213,-213,-213,-213,-213,221,-227,-223,-222,-222,-224
contig_444	13935	18	Y	N	2	*	444
contig_417	13873	6	N	N	1	*	*,417,*
contig_107	12680	4	N	N	1	*	*,107,*
contig_257	12595	8	N	N	2	*	*,257,*
contig_359	12569	3	N	N	1	*	*,359,*
contig_326	12361	3	N	N	1	*	*,326,*
contig_416	12193	3	N	N	1	*	*,416,*
contig_483	12170	4	N	N	1	*	*,483,*
contig_421	11944	3	N	N	1	*	*,421,*
contig_428	11793	3	N	N	1	*	*,428,*
contig_327	11536	4	N	N	1	*	*,327,*
contig_314	11477	3	N	N	1	*	*,314,*
contig_335	11455	8	N	N	1	*	*,335,*
contig_414	11438	21	Y	N	5	*	414
contig_211	11323	20	N	Y	10	*	211
contig_232	11294	3	N	N	1	*	*,232,*
contig_408	11276	8	N	N	2	*	*,408,*
contig_469	11276	20	N	N	1	*	*,469,*
contig_339	11229	4	N	N	1	*	*,339,*
contig_108	11128	3	N	N	1	*	*,108,*
contig_474	11074	5	N	N	1	*	*,474,*
contig_438	11022	20	N	N	5	*	*,438,*
contig_441	10967	3	N	N	1	*	*,441,*
contig_505	10571	16	Y	N	4	*	505
contig_218	10479	21	N	Y	10	*	218
contig_403	10441	7	N	N	1	*	*,403,*
contig_149	10285	8	N	Y	2	*	149,*
contig_303	10171	15	N	N	3	*	*,303,*
contig_325	10171	48	Y	Y	24	*	325
contig_329	9942	3	N	N	1	*	*,329,*
contig_346	9916	3	N	N	1	*	*,346,*
contig_419	9728	5	N	N	1	*	*,419,*
contig_439	9719	3	N	N	1	*	*,439,*
contig_411	9595	35	Y	N	2	*	411
contig_313	9585	3	N	N	1	*	*,313,*
contig_494	9560	21	N	N	1	*	149,494,*
contig_292	9503	21	Y	N	1	*	292
contig_219	9261	21	Y	N	5	*	219
contig_539	9240	6	Y	N	1	*	539
contig_384	9074	3	N	N	1	*	*,384,*
contig_322	9024	26	N	N	3	*	*,322,*
contig_212	8950	3	N	N	1	*	*,212,*
contig_432	8924	5	N	N	1	*	*,432,*
contig_338	8910	3	N	N	1	*	*,338,*
contig_397	8831	3	N	N	1	*	*,397,*
contig_210	8626	22	Y	N	1	*	210
contig_173	8565	65	N	Y	32	*	173
contig_502	8550	20	Y	N	1	*	502
contig_355	8449	4	N	N	1	*	*,355,*
contig_520	8188	5	Y	N	1	*	520
contig_440	8108	3	N	N	1	*	*,440,*
contig_363	8091	8	N	N	2	*	*,363,*
contig_262	8038	88	Y	N	22	*	262
contig_497	8016	20	Y	N	1	*	497
contig_148	8000	12	N	N	3	*	*,148,*
contig_533	7984	15	Y	N	2	*	533
contig_534	7902	125	Y	N	6	*	534
contig_291	7880	3	N	N	1	*	*,291,*
contig_545	7872	96	Y	N	16	*	545
contig_529	7824	20	Y	N	4	*	529
contig_330	7781	5	Y	Y	1	42	330
contig_180	7610	5	N	N	1	*	*,180,*
contig_436	7606	20	Y	N	1	*	436
