#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_23	101794	17	N	N	2	*	23,*
contig_387	47911	4	N	N	1	*	*,387,*
contig_253	43154	9	N	Y	3	*	253
contig_275	40339	4	N	N	1	*	*,275,*
contig_151	36634	3	N	N	1	*	*,151,*
contig_171	33647	3	N	N	1	*	*,171,*
contig_404	31791	4	N	N	1	*	*,404,*
contig_413	30796	28	Y	N	2	*	413
contig_11	30473	13	N	N	1	*	3,3,3,3,3,11,-253
contig_297	30292	3	N	N	1	*	*,297,*
contig_319	29859	4	N	N	1	*	*,319,*
contig_122	29802	3	N	N	1	*	*,122,*
contig_237	29349	4	N	N	1	*	*,237,*
contig_255	28145	3	N	N	1	*	*,255,*
contig_73	25918	5	N	N	1	*	73,*
contig_140	25099	4	N	N	1	*	*,140,*
contig_290	24945	4	N	N	1	*	*,290,*
contig_423	24627	25	N	N	2	*	-251,-251,-250,-251,-250,-251,-250,-251,-250,-251,-250,-251,-251,-251,423
contig_134	23801	4	N	N	1	*	*,134,*
contig_365	23491	7	N	N	1	*	*,365,*
contig_259	21425	4	N	N	1	*	*,259,*
contig_139	20574	3	N	N	1	*	*,139,*
contig_87	20371	3	N	N	1	*	*,87,*
contig_338	19875	3	N	N	1	*	*,338,*
contig_344	19758	5	N	N	1	*	*,344,*
contig_282	19298	20	N	N	5	*	281,282,280,280,279
contig_435	19285	29	N	N	2	*	*,375,374,374,374,374,374,375,374,434,374,375,374,376,374,374,377,435,*
contig_369	18459	3	N	N	1	*	*,369,*
contig_392	18085	5	N	N	1	*	*,392,*
contig_128	17932	3	N	N	1	*	*,128,*
contig_125	17796	4	N	N	1	*	*,125,*
contig_349	16342	4	N	N	1	*	*,349,*
contig_29	15980	3	N	N	1	*	*,29,*
contig_248	15960	3	N	N	1	*	*,248,*
contig_14	15824	12	N	N	1	*	*,14,*
contig_115	15187	3	N	N	1	*	*,115,*
contig_336	15027	6	N	N	1	*	*,336,*
contig_380	14887	6	N	N	1	*	*,380,*
contig_328	14731	3	N	N	1	*	*,328,*
contig_417	14105	5	N	Y	1	*	*,417
contig_84	13540	20	Y	N	5	*	84
contig_161	13373	4	N	N	1	*	*,161,*
contig_394	12973	3	Y	N	1	*	394
contig_28	12911	3	N	N	1	*	*,28,*
contig_305	12644	8	N	N	2	*	*,305,*
contig_56	12549	34	Y	N	2	*	56
contig_219	12495	4	N	N	1	*	*,219,*
contig_238	12154	3	N	N	1	*	*,238,*
contig_383	11828	5	N	N	1	*	*,383,*
contig_223	11703	3	N	N	1	*	*,223,*
contig_397	11574	4	N	N	1	*	*,397,*
contig_350	11515	3	N	N	1	*	*,350,*
contig_214	11473	3	N	N	1	*	*,214,*
contig_166	11320	3	N	N	1	*	*,166,*
contig_249	11291	3	N	N	1	*	*,249,*
contig_239	10996	10	N	N	2	*	*,239,*
contig_318	10651	7	N	N	1	*	*,318,*
contig_81	10625	4	N	N	1	*	*,81,*
contig_277	10595	4	N	N	1	*	*,277,*
contig_320	10546	4	N	N	1	*	*,320,*
contig_159	10455	5	N	N	1	*	*,159,*
contig_186	10419	4	N	N	1	*	*,186,*
contig_215	10316	4	N	N	1	*	*,215,*
contig_331	10261	3	N	N	1	*	*,331,*
contig_101	10206	4	N	N	1	*	*,101,*
contig_85	10054	3	N	N	1	*	*,85,*
contig_386	10048	3	N	N	1	*	*,386,*
contig_1	10025	3	N	N	1	*	*,1,*
contig_69	9889	14	N	Y	7	*	69,*
contig_222	9742	4	N	N	1	*	*,222,*
contig_156	9733	3	N	N	1	*	*,156,*
contig_177	9660	3	N	N	1	*	*,177,*
contig_261	9658	3	N	N	1	*	*,261,*
contig_236	9569	3	N	N	1	*	*,236,*
contig_100	9390	24	N	N	3	*	*,100,*
contig_276	9389	7	N	N	1	*	*,276,*
contig_98	9367	4	N	N	1	*	*,98,*
contig_411	9242	20	Y	N	1	*	411
contig_172	9113	4	N	N	1	*	*,172,*
contig_321	9018	3	N	N	1	*	*,321,*
contig_189	9012	4	N	N	1	*	*,189,*
contig_407	8972	51	N	Y	25	*	407
contig_316	8820	3	N	N	1	*	*,316,*
contig_286	8780	7	N	N	1	*	*,286,*
contig_136	8779	3	N	N	1	*	*,136,*
contig_326	8759	3	N	N	1	*	*,326,*
contig_388	8743	3	N	N	1	*	*,388,*
contig_229	8642	3	N	N	1	*	*,229,*
contig_190	8630	3	N	N	1	*	*,190,*
contig_76	8589	3	N	N	1	*	*,76,*
contig_333	8528	4	N	N	1	*	*,333,*
contig_32	8512	3	N	N	1	*	*,32,*
contig_123	8425	3	N	N	1	*	*,123,*
contig_109	8416	3	N	N	1	*	*,109,*
contig_363	8393	4	N	N	1	*	*,363,*
contig_337	8383	3	N	N	1	*	*,337,*
contig_155	8367	3	N	N	1	*	*,155,*
contig_339	8250	4	N	N	1	*	*,339,*
contig_285	8208	3	N	N	1	*	*,285,*
contig_224	8181	20	N	N	5	*	*,224,*
contig_30	8169	3	N	N	1	*	*,30,*
contig_348	8133	3	N	N	1	*	*,348,*
contig_90	8123	10	N	N	1	*	*,90,*
contig_432	8091	8	N	N	1	*	*,432,*
contig_436	8078	8	Y	N	1	*	436
contig_157	7951	4	N	N	1	*	*,157,*
contig_315	7927	3	N	N	1	*	*,315,*
contig_352	7897	43	Y	N	10	*	352
contig_395	7870	26	Y	Y	26	*	395
contig_188	7819	4	N	Y	2	*	188
contig_260	7812	3	N	N	1	*	*,260,*
contig_211	7759	3	N	N	1	*	*,211,*
contig_218	7698	4	N	N	1	*	*,218,*
contig_21	7674	503	N	N	48	*	21,-64,-64,-64,-64,-64,-64,-64,-64,-64
contig_358	7639	4	N	N	1	*	*,358,*
contig_355	7629	3	N	N	1	*	*,355,*
contig_129	7549	5	N	N	1	*	*,129,*
contig_221	7365	3	N	N	1	*	*,221,*
contig_284	7293	3	N	N	1	*	*,284,*
contig_351	7267	3	N	N	1	*	*,351,*
contig_385	7200	3	N	N	1	*	*,385,*
contig_108	7135	3	N	N	1	*	*,108,*
contig_360	7128	4	N	N	1	*	*,360,*
contig_187	7118	17	N	N	4	*	*,187,*
contig_403	7111	4	Y	N	1	*	403
contig_210	7102	4	N	N	1	*	*,210,*
contig_89	7093	3	N	N	1	*	*,89,*
contig_391	7061	7	Y	N	1	*	391
contig_367	7013	20	N	N	5	*	*,367,*
contig_141	6982	3	N	N	1	*	*,141,*
contig_88	6973	3	N	N	1	*	*,88,*
contig_86	6915	3	N	N	1	*	*,86,*
contig_111	6908	3	N	N	1	*	*,111,*
contig_82	6890	4	N	N	1	*	*,82,*
contig_359	6873	5	N	N	1	*	*,359,*
contig_213	6861	3	N	N	1	*	*,213,*
contig_169	6743	3	N	N	1	*	*,169,*
contig_415	6686	19	Y	N	3	*	415
contig_209	6652	3	N	N	1	*	*,209,*
contig_289	6569	3	N	N	1	*	*,289,*
contig_378	6520	4	N	N	1	*	*,378,*
contig_83	6512	3	N	N	1	*	*,83,*
contig_27	6484	3	N	N	1	*	*,27,*
contig_231	6467	3	N	N	1	*	*,231,*
contig_220	6448	31	Y	N	2	*	220
contig_335	6448	3	N	N	1	*	*,335,*
contig_294	6439	3	N	N	1	*	*,294,*
contig_162	6427	5	N	N	1	*	*,162,*
contig_398	6403	22	Y	N	1	*	398
contig_216	6373	20	Y	N	5	*	216
contig_296	6366	5	N	N	1	*	*,296,*
contig_78	6319	3	N	N	1	*	*,78,*
contig_116	6317	3	N	N	1	*	*,116,*
