#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_8	5654041	29	N	N	2	*	8
contig_41	1662422	20	N	N	1	*	41
contig_55	1132875	10	N	N	1	*	*,55,*
contig_11	1051964	25	N	N	3	*	-216,11
contig_124	999462	9	N	N	1	*	*,124,*
contig_76	965230	10	N	N	2	*	*,76,*
contig_24	656224	21	N	N	1	*	24
contig_81	593202	20	N	N	1	*	81
contig_12	491124	23	N	N	2	*	12,-160
contig_72	382586	22	N	N	1	*	72
contig_37	364731	23	N	N	1	*	37,345
contig_116	352913	27	N	N	2	*	116,*
contig_372	311643	7	N	N	1	*	*,372,*
contig_339	304620	22	N	N	1	*	339,*
contig_93	300128	6	N	N	1	*	*,93,*
contig_209	296432	6	N	N	1	*	*,209,*
contig_303	264139	7	N	N	1	*	*,303,*
contig_213	251410	22	N	N	1	*	*,213,345
contig_363	227452	6	N	N	1	*	*,363,*
contig_7	227114	20	N	N	1	*	7,241
contig_151	227008	5	N	N	1	*	*,151,*
contig_296	199438	6	N	N	1	*	*,296,*
contig_203	195263	7	N	N	1	*	*,203,*
contig_255	194305	6	N	N	1	*	*,255,*
contig_53	158445	5	N	N	1	*	*,53,*
contig_169	157395	24	N	N	3	*	*,169,170,172,-239
contig_250	157088	7	N	N	1	*	*,250,*
contig_62	155343	41	N	N	3	*	62
contig_340	149330	21	N	N	1	*	*,340
contig_346	138977	6	N	N	2	*	*,346,*
contig_178	123739	6	N	N	1	*	*,178,*
contig_264	123687	6	N	N	1	*	*,264,*
contig_198	122305	23	N	N	2	*	345,198
contig_366	118122	13	N	N	1	*	*,366,*
contig_121	115818	6	N	N	1	*	*,121,*
contig_341	114940	21	N	N	1	*	*,341
contig_249	108665	5	N	N	1	*	*,249,*
contig_244	102514	12	N	N	1	*	244
contig_335	100695	7	N	N	1	*	*,335,*
contig_360	97458	6	Y	N	1	*	360
contig_278	97226	13	N	N	1	*	278,-216
contig_367	96243	6	N	N	1	*	*,367,*
contig_347	93480	50	Y	N	4	*	347
contig_138	91403	6	N	N	1	*	*,138,*
contig_338	88168	7	N	N	1	*	*,338,*
contig_313	87643	5	N	N	1	*	*,313,*
contig_364	83108	14	N	N	1	*	364
contig_374	82603	6	N	N	1	*	*,374,*
contig_298	76105	4	N	N	1	*	*,298,*
contig_214	74853	8	N	N	1	*	*,214,*
contig_14	73423	7	N	N	1	*	*,14,*
contig_188	73304	12	Y	N	2	*	188
contig_334	72773	4	N	N	1	*	*,334,*
contig_297	70412	5	N	N	1	*	*,297,*
contig_104	70077	4	N	N	1	*	*,104,*
contig_371	69816	20	Y	N	2	*	371
contig_176	68854	5	N	N	1	*	*,176,*
contig_69	67661	11	N	N	1	*	69
contig_155	65902	15	N	N	2	*	160,155
contig_79	65358	14	N	N	2	*	79
contig_60	64769	19	N	N	1	*	60
contig_136	64491	5	N	N	1	*	*,136,*
contig_34	63706	5	N	N	2	*	*,34,*
contig_365	63246	6	N	N	1	*	*,365,*
contig_342	62997	13	N	N	1	*	342,68
contig_310	61157	6	N	N	1	*	*,310,*
contig_351	60165	7	Y	N	1	*	351
contig_38	58873	3	N	N	1	*	*,38,*
contig_240	58625	6	N	N	1	*	*,240,*
contig_61	55912	10	N	N	1	*	61,*
contig_327	55409	6	N	N	1	*	*,327,*
contig_152	54511	13	N	N	1	*	152,-160
contig_80	54062	12	N	N	3	*	*,80,*
contig_50	52791	6	N	N	1	*	*,50,*
contig_21	52271	6	N	N	1	*	21,*
contig_3	51395	6	N	Y	3	*	3
contig_304	50851	4	N	N	1	*	*,304,*
contig_368	50776	25	N	N	2	*	368
contig_243	49893	12	N	N	2	*	243
contig_67	49452	3	N	Y	1	*	*,67
contig_22	49324	7	N	N	1	*	22,*
contig_315	47932	6	N	N	1	*	*,315,*
contig_206	47613	8	N	N	1	*	*,206,*
contig_227	45624	4	N	N	1	*	*,227,*
contig_277	43832	4	N	N	1	*	*,277,*
contig_229	42931	5	N	Y	1	296	*,229,*
contig_15	42890	3	N	N	1	*	*,15,*
contig_159	42546	7	Y	Y	2	*	159
contig_251	42325	5	N	N	1	*	*,251,*
contig_245	42261	4	N	N	1	*	*,245,*
contig_19	41613	9	N	Y	1	268	*,19,*
contig_147	41451	3	N	N	1	*	*,147,*
contig_184	40802	4	N	Y	1	264	*,184
contig_330	40350	3	N	N	1	*	*,330,*
contig_205	40071	5	N	N	1	*	*,205,*
contig_173	39694	10	N	N	1	*	173,237
contig_190	39525	17	N	Y	1	236	*,190,*
contig_345	39499	35	N	Y	3	*	345
contig_179	39146	5	N	N	1	*	*,179,*
contig_279	37833	13	N	N	2	*	279,-216
contig_216	37455	20	N	Y	1	*	216
contig_354	37026	8	N	N	2	*	*,354,*
contig_100	36571	14	N	N	1	*	100
contig_256	36136	5	N	N	1	*	256,*
contig_316	35589	3	N	N	1	*	*,316,*
contig_377	35117	5	N	N	1	*	*,377,*
contig_344	35026	4	N	N	1	*	*,344,*
contig_64	34757	4	N	N	1	*	*,64,*
contig_217	34158	6	N	N	2	*	*,217,-358,*
contig_30	34123	3	N	N	1	*	*,30,*
contig_308	33727	7	N	N	1	*	*,308,*
contig_51	33453	4	N	N	1	*	*,51,*
contig_117	33001	5	N	N	1	*	*,117,*
contig_25	32968	12	N	N	1	*	*,25,*
contig_1	32760	7	N	Y	3	*	*,1
contig_130	32027	4	N	N	1	*	*,130,*
contig_28	31883	20	N	N	1	*	345,28
contig_43	31711	6	N	Y	1	210	*,43,*
contig_162	31610	8	N	N	2	*	*,162,*
contig_122	31276	9	Y	Y	1	22	122
contig_236	31121	4	N	N	1	*	*,236,*
contig_356	30801	8	Y	Y	2	48	356
contig_204	30654	3	N	N	1	*	*,204,*
contig_91	30576	5	N	N	1	*	*,91,*
contig_52	30493	4	N	N	1	*	*,52,*
contig_369	30022	6	N	N	1	*	68,369
contig_324	29906	6	N	N	1	*	*,324,*
contig_230	29478	9	N	N	2	*	*,230,*
contig_307	29324	7	N	N	1	*	*,307,*
contig_103	28793	3	N	N	1	*	*,103,*
contig_285	28750	10	N	Y	1	*	*,285,*
contig_114	28681	6	N	N	1	*	*,114,*
contig_333	28317	4	N	N	1	*	*,333,*
contig_92	28217	4	N	N	1	*	*,92,*
contig_89	28179	8	N	Y	4	*	*,89,*
contig_119	28110	9	N	N	1	*	119,*
contig_378	28040	5	N	N	1	*	*,378,*
contig_350	27783	17	Y	Y	1	46	350
contig_125	27261	5	N	N	1	*	*,125,*
contig_300	27202	4	N	N	1	*	*,300,*
contig_325	26598	5	N	N	1	*	*,325,*
contig_291	26367	3	N	N	1	*	*,291,*
contig_321	26366	4	N	N	1	*	*,321,*
contig_202	26178	7	N	Y	1	*	*,202,*
contig_171	25906	5	N	N	2	*	171,*
contig_207	25746	5	N	N	1	*	*,207,*
contig_189	25473	16	N	Y	2	236	*,189,*
contig_46	25311	4	N	N	1	*	*,46,*
contig_194	24948	3	N	N	1	*	*,194,*
contig_113	24914	5	N	N	1	*	*,113,*
contig_292	24681	17	Y	N	1	*	292
contig_94	24640	5	N	Y	2	218	*,94,*
contig_253	24554	8	N	Y	1	220	*,253,*
contig_2	24439	5	N	N	1	*	-3,2,*
contig_123	24401	4	N	Y	2	*	*,123,*
contig_127	24389	4	N	N	1	*	*,127,*
contig_135	24054	5	N	Y	1	222	*,135,*
contig_82	24036	6	N	N	1	*	*,82,*
contig_167	23927	5	N	N	1	*	*,167,*
contig_370	23853	36	Y	N	3	*	370
contig_133	23600	8	N	N	2	*	*,133,*
contig_18	23452	5	N	N	1	*	*,18,*
contig_26	23434	5	N	N	1	*	*,26,*
contig_99	23348	7	N	N	1	*	99
contig_193	23319	6	N	N	1	*	*,193,*
contig_287	23064	7	N	Y	1	300	*,287,*
contig_233	22817	3	N	N	1	*	*,233,*
contig_265	22817	7	N	N	1	*	265,*
contig_98	22501	3	N	N	1	*	*,98,*
contig_32	22464	3	N	N	1	*	*,32,*
contig_376	22382	7	Y	N	1	*	376
contig_90	22266	4	N	N	1	*	*,90,*
contig_73	22246	4	Y	Y	1	12	73
contig_191	21822	3	N	N	1	*	*,191,*
contig_259	21700	4	N	N	1	*	*,259,*
contig_182	21653	5	N	Y	1	264	*,182,*
contig_318	21644	5	N	N	1	*	*,318,*
contig_362	21034	8	N	Y	1	246	*,362,*
contig_269	20973	4	N	N	1	*	*,269,*
contig_290	20921	9	N	Y	1	258	*,290,*
