	Contig_name	Sample	Contig_length	ARG	Gene	Gene2	Fam	identity	coverage	start	end	Country	Technology	kraken2023	kaiju_nr_euk	kaiju_refseq	Diamond_nr	Class	Tax	Diamond_nr_genes	Integron	Platon_ID	Length	Coverage	X._ORFs	RDS	Circular	Inc_Type.s.	X._Replication	X._Mobilization	X._OriT	X._Conjugation	X._AMRs	X._rRNAs	X._Plasmid_Hits	SYNTENY	DIRECTION	CLADE_A	CLADE_B	LCA	Surface
1	CAR1_ita_i_NODE_100565_length_1140_cov_5.210138	CAR1_ita_i	1140	erm(F)_3_M17808	erm(F)	erm(F)	Macrolide, Lincosamide, Streptogramin B	99.875	100	218	1018	Italy	illumina	Leyella lascolaii 	Bacteria	Prevotella	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis"	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis"	s	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
2	CAR1_ita_i_NODE_104709_length_1106_cov_2.388202	CAR1_ita_i	1106	lnu(G)_1_KX470419	lnu(G)	lnu(G)	Lincosamide	98.007	998.756.218.905.473	278	1080	Italy	illumina	Cerasibacillus terrae 	Bacteria	Bacilli	k_Bacteria	k_Bacteria	k	Genes: 1	-	CAR1_ita_i_NODE_104709_length_1106_cov_2.388202	1106	NA	1	0.1	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
3	CAR1_ita_i_NODE_109226_length_1071_cov_2.673228	CAR1_ita_i	1071	blaOXA-282_1_APQS01000019	blaOXA-282	blaOXA-134 like	Beta-lactam	97.593	100	61	891	Italy	illumina	Acinetobacter lwoffii 	Acinetobacter sp. AR2-3	Acinetobacter	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	g	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
4	CAR1_ita_i_NODE_113924_length_1038_cov_6.497457	CAR1_ita_i	1038	aadA10_2_AM087405	aadA10	aac(6') like	Aminoglycoside	100	96.642.685.851.319	52	857	Italy	illumina	Pseudomonadota 	Pseudomonadota	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
5	CAR1_ita_i_NODE_1207_length_22230_cov_23.305209	CAR1_ita_i	22230	tet(T)_1_L42544	tet(T)	tet(T)	Tetracycline	91.569	100.051.124.744.376	7521	9476	Italy	illumina	Clostridium bowmanii 	Bacillota	Streptococcus pyogenes	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
6	CAR1_ita_i_NODE_129026_length_947_cov_3.178251	CAR1_ita_i	947	lnu(D)_1_EF452177	lnu(D)	lnu(D)	Lincosamide	99.798	100	174	668	Italy	illumina	Sporotomaculum syntrophicum 	Streptococcus uberis	Desulforamulus ferrireducens	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus uberis"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus uberis"	s	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
7	CAR1_ita_i_NODE_13453_length_4855_cov_6.460417	CAR1_ita_i	4855	mph(N)_1_KF648874	mph(N)	mph(N)	Macrolide	88.702	983.498.349.834.984	3631	4524	Italy	illumina	Clostridium bornimense 	Bacillota	Clostridium bornimense	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
8	CAR1_ita_i_NODE_136526_length_909_cov_10.901639	CAR1_ita_i	909	aadA2_1_NC_010870	aadA2	aadA2	Aminoglycoside	99.875	979.242.979.242.979	108	909	Italy	illumina	Bacteria 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
9	CAR1_ita_i_NODE_147198_length_859_cov_22.651741	CAR1_ita_i	859	ant(3'')-Ia_1_X02340	ant(3'')-Ia	aadA1 like	Aminoglycoside	99.751	825.102.880.658.436	58	859	Italy	illumina	Bacteria 	Bacteria	Gammaproteobacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
10	CAR1_ita_i_NODE_149243_length_850_cov_61.899371	CAR1_ita_i	850	sul2_2_AY034138	sul2	sul2	Folate pathway antagonist	100	100	3	818	Italy	illumina	Bacteria 	Bacteria	root	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
