#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_161	243641	19	N	N	1	*	161,-185
contig_160	177458	12	N	N	1	*	*,160,314,314,314,314,*
contig_155	167684	13	N	N	1	*	185,155,*
contig_404	146827	9	N	N	1	*	676,404,*
contig_179	145325	14	N	N	1	*	179,-231,-202
contig_640	136609	7	N	N	1	*	*,640,*
contig_162	133936	13	N	N	1	*	162,*
contig_758	126094	5	N	N	1	*	*,758,*
contig_401	121391	7	N	N	1	*	*,401,*
contig_181	118074	18	N	N	1	*	*,-756,267,417,417,181,-231
contig_510	109538	6	N	N	1	*	*,-513,510,*
contig_494	106977	5	N	N	1	*	*,494,*
contig_690	99627	5	N	N	1	*	*,690,*
contig_718	96875	6	N	N	1	*	*,718,*
contig_166	96062	11	N	N	1	*	*,166,*
contig_235	95651	17	N	N	1	*	235,*
contig_9	95015	42	N	N	2	*	9,*
contig_754	92884	11	N	N	1	*	*,761,201,754,*
contig_775	86067	5	N	N	1	*	*,775,*
contig_154	80410	15	N	N	1	*	183,154,*
contig_203	77320	12	N	N	1	*	203
contig_752	74816	11	N	N	1	*	752
contig_409	74749	8	N	N	1	*	*,409,*
contig_755	74250	14	N	N	1	*	*,755,*
contig_523	70404	5	N	N	1	*	*,523,*
contig_753	68357	11	N	N	1	*	753,*
contig_349	65540	7	N	N	1	*	*,349,*
contig_223	63221	12	N	N	1	*	223,*
contig_211	62963	15	N	N	1	*	211,*
contig_560	60750	8	N	N	2	*	*,560,*
contig_515	60389	7	N	N	1	*	*,515,*
contig_170	58095	14	N	N	1	*	-182,170,*
contig_548	55399	8	N	N	2	*	*,548,*
contig_786	53382	5	N	N	1	*	*,786,*
contig_56	53363	6	N	N	1	*	*,56,*
contig_415	52044	8	N	N	1	*	*,415,*
contig_6	51024	5	N	N	1	*	*,6,*
contig_59	48721	6	N	N	1	*	*,59,*
contig_521	47410	5	N	N	1	*	*,521,-761,*
contig_782	45212	6	N	N	1	*	*,782,*
contig_675	44992	7	N	N	1	*	*,675,*
contig_209	44736	17	N	N	1	*	*,209,*
contig_234	44380	9	N	N	1	*	234,*
contig_465	44127	5	N	N	1	*	*,465,*
contig_720	41593	5	N	N	1	*	*,720,*
contig_225	40823	7	N	N	1	*	*,224,225,-224,*
contig_683	39566	7	N	N	1	*	*,683,*
contig_779	39194	9	N	N	1	*	*,779,*
contig_603	39130	5	N	N	1	*	*,603,*
contig_40	38437	6	N	N	1	*	40,*
contig_448	36516	5	N	N	1	*	*,448,*
contig_153	34635	9	N	N	1	*	-183,153,-297
contig_176	33919	13	Y	N	1	*	176
contig_269	33781	9	N	N	1	*	*,269,*
contig_252	33637	4	N	N	1	*	*,252,*
contig_747	33055	7	N	N	1	*	*,747,*
contig_765	32963	4	N	N	1	*	*,765,*
contig_204	32595	12	N	N	1	*	204,*
contig_132	32016	11	N	Y	1	*	*,132
contig_707	30820	5	N	N	1	*	*,707,*
contig_393	30579	13	N	N	1	*	393
contig_762	30373	27	Y	N	1	*	762
contig_678	29955	24	N	N	1	*	*,-659,678,*
contig_751	29572	5	N	N	1	*	*,751
contig_296	29206	6	N	N	1	*	*,296,*
contig_139	28724	8	N	N	1	*	*,139,*
contig_45	28165	31	Y	N	1	*	45
contig_193	27789	5	N	N	1	*	191,193,*
contig_745	27468	6	N	N	1	*	75,75,75,75,75,75,75,75,75,75,75,-80,75,75,75,75,75,745,*
contig_389	27430	3	N	N	1	*	*,389,*
contig_761	27275	7	N	Y	1	*	*,761
contig_607	27207	6	N	N	1	*	*,607,*
contig_696	26357	7	N	N	1	*	*,696,*
contig_618	26018	6	N	N	1	*	*,618,*
contig_567	25922	3	N	N	1	*	*,567,*
contig_227	25733	6	N	N	1	*	*,227,*
contig_169	25639	13	N	N	1	*	-182,169,298,*
contig_144	25448	5	N	N	1	*	*,144,*
contig_271	24802	4	N	N	1	*	*,271,*
contig_403	24786	5	N	N	1	*	*,403,*
contig_750	24560	15	N	Y	1	*	750
contig_386	24464	12	N	N	1	*	*,386,*
contig_738	24335	5	N	N	1	*	*,738,*
contig_178	23708	7	N	N	1	*	183,178
contig_228	22741	4	N	N	1	*	*,228,*
contig_458	22370	6	N	N	1	*	*,458,*
contig_547	22091	3	N	N	1	*	*,547,*
contig_384	21060	4	N	N	1	*	*,384,*
contig_576	20837	4	N	N	1	*	*,576,*
contig_631	20802	4	N	N	1	*	*,631,*
contig_385	19640	3	N	N	1	*	*,385,*
contig_2	19397	4	N	N	1	*	*,2,*
contig_157	19334	20	N	N	1	*	157
contig_398	19263	4	N	N	1	*	*,398,*
contig_624	19241	8	N	N	2	*	*,624,*
contig_714	19187	4	N	N	1	*	*,714,*
