"Antibiotic_Family","Gene","CAR1_ita_i","CAR2_ita_i","CAR3_ita_i","CAR4_ita_i","CD1_ita_i","CD2_ita_i","CD3_ita_i","CD4_ita_i","CS1_ita_i","CS2_ita_i","CS3_ita_i","CS4_ita_i","DD1_ita_i","DD2_ita_i","DD3_ita_i","DD4_ita_i","DS1_ita_i","DS2_ita_i","DS3_ita_i","DS4_ita_i","CD1_spa_i","CD2_spa_i","CD3_spa_i","CD4_spa_i","CS1_spa_i","CS2_spa_i","CS3_spa_i","CS4_spa_i","DD1_spa_i","DD2_spa_i","DD3_spa_i","DD4_spa_i","DS1_spa_i","DS2_spa_i","DS3_spa_i","DS4_spa_i","CAR1_ita_n","CAR2_ita_n","CAR3_ita_n","CAR4_ita_n","CD1_spa_n","CD1_ita_n","CD2_spa_n	","CD2_ita_n","CD3_spa_n","CD3_ita_n","CD4_spa_n","CD4_ita_n","CS1_spa_n","CS1_ita_n","CS2_spa_n","CS2_ita_n","CS3_spa_n","CS3_ita_n","CS4_spa_n","CS4_ita_n","DD1_spa_n","DD1_ita_n","DD2_spa_n","DD2_ita_n","DD3_spa_n	","DD3_ita_n","	DD4_spa_n","DD4_ita_n"," DS1_spa_n","DS1_ita_n","DS2_spa_n","DS2_ita_n","DS3_spa_n","DS3_ita_n","DS4_spa_n","DS4_ita_n"
"Aminoglycoside","ant(2'')-Ia_1_X04555",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_10_HM367617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_11_HM367620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_12_HQ880250",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_13_DQ176450",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_14_DQ266447",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_15_EF205594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_16_HQ386848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_17_JTTZ01000034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_19_GQ466184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_2_JF826500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_20_AY139599",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_3_X74412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_4_AF458082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside","ant(2'')-Ia_5_AY139594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
