#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_149	35208	12	N	N	1	*	*,149,*
contig_113	32638	20	N	N	2	*	*,113,*
contig_112	28187	20	N	Y	1	*	112
contig_57	25257	17	N	N	1	*	112,57,-78,-78,-79,-80,-80,*
contig_178	15259	9	N	N	1	*	*,178,*
contig_236	9393	16	Y	N	1	*	236
contig_49	9290	17	Y	Y	1	2	49
contig_114	8981	3	N	N	1	*	*,114,*
contig_47	8878	117	N	N	16	*	43,43,40,40,40,40,40,44,47,-118,-118,-117,*
contig_195	7859	11	N	N	1	*	*,195,*
contig_125	7735	13	N	N	3	*	*,125,*
contig_56	7703	12	N	N	1	*	*,56,*
contig_34	7497	12	N	Y	6	*	34
contig_217	7208	13	N	N	3	*	*,217,-218
contig_232	7032	5	Y	N	1	*	232
contig_225	6692	3	N	N	1	*	*,225,*
contig_101	6593	5	N	N	1	*	*,101,*
contig_138	6458	26	Y	N	1	*	138
contig_240	6061	10	Y	N	1	*	240
contig_221	5801	22	Y	N	2	*	221
contig_164	5693	93	N	N	18	*	*,164,*
contig_143	5621	12	N	N	3	*	*,143,*
contig_139	5391	3	N	N	1	*	*,139,*
contig_193	5389	11	Y	N	1	*	193
contig_210	5329	3	N	N	1	*	*,210,*
contig_213	5263	16	Y	N	2	*	213
contig_192	5225	3	N	N	1	*	*,192,*
contig_237	5071	52	Y	N	2	*	237
contig_222	5017	8	N	N	1	*	*,222,*
contig_115	4912	67	Y	Y	1	*	115
contig_73	4910	26	Y	N	3	*	73
contig_233	4848	22	Y	Y	1	*	233
contig_234	4814	16	Y	Y	2	*	234
contig_208	4760	3	N	N	1	*	*,208,*
contig_239	4717	37	Y	Y	2	*	239
contig_175	4597	18	N	Y	9	*	175
contig_96	4523	5	N	N	1	*	*,96,*
contig_242	4454	19	Y	Y	3	*	242
contig_227	4409	19	N	Y	1	*	*,227,*
contig_97	4323	3	N	N	1	*	*,97,*
contig_52	4310	63	N	N	12	*	*,52,*
contig_244	4282	17	Y	Y	1	*	244
contig_77	4233	3	N	N	1	*	*,77,*
contig_48	4173	11	N	N	1	*	*,48,*
contig_179	4171	20	Y	Y	2	*	179
contig_185	4165	4	N	N	1	*	*,185,*
contig_35	4162	3	N	Y	1	*	35
contig_182	4121	18	Y	Y	2	*	182
contig_81	4038	36	N	N	9	*	*,81,*
contig_184	4018	17	Y	Y	2	*	184
contig_135	3893	6	N	N	1	*	*,135,*
contig_204	3880	4	N	N	1	*	*,204,*
contig_216	3827	21	Y	Y	1	*	216
contig_50	3818	19	Y	Y	3	*	50
contig_146	3744	21	Y	Y	4	*	146
contig_228	3681	16	Y	Y	3	*	228
contig_203	3564	9	N	N	2	*	*,203,*
contig_100	3561	3	N	N	1	*	*,100,*
contig_247	3387	20	Y	Y	1	*	247
