#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_174	602890	13	N	N	1	*	*,174,-278
contig_156	288787	13	N	N	1	*	156
contig_262	263351	12	N	N	1	*	*,262,*
contig_126	236209	13	N	N	1	*	*,126,-280
contig_302	156682	13	N	N	1	*	302,-131
contig_427	152398	5	N	N	1	*	*,427,430
contig_4	142014	6	N	N	1	*	182,4,*
contig_169	137094	9	N	N	1	*	*,169,*
contig_151	133427	11	N	N	1	*	151,*
contig_196	130480	8	N	N	1	*	182,196,-182
contig_215	102431	10	N	N	1	*	*,215,*
contig_193	100266	7	N	N	1	*	-183,193,183
contig_198	99945	6	N	N	1	*	-184,198
contig_287	91651	13	N	N	1	*	287,-519,-280,853
contig_543	89569	5	N	N	1	*	*,543,*
contig_322	86589	6	N	N	1	*	*,322,*
contig_28	85900	39	N	N	2	*	-17,-17,-17,-17,-17,-17,18,-17,28,17,17,17,-18,17,17,17,17,17
contig_191	84707	7	N	N	1	*	*,191,-192
contig_168	80934	7	N	N	1	*	*,277,168,*
contig_832	76212	5	N	N	1	*	18,18,18,18,18,18,18,18,18,18,18,832
contig_388	74101	6	N	N	1	*	*,388,*
contig_707	73017	12	N	N	1	*	*,707,*
contig_2	71444	6	N	N	1	*	*,2,*
contig_883	70983	13	N	N	1	*	853,883
contig_291	70037	5	N	N	1	*	*,291,*
contig_187	69710	7	N	N	1	*	-188,187
contig_117	66610	8	N	N	1	*	*,117,*
contig_338	66166	10	N	N	1	*	192,338,-203
contig_434	64724	6	N	N	1	*	-432,434,*
contig_165	64491	7	N	N	1	*	*,165,-182
contig_166	61714	11	N	N	1	*	*,166,*
contig_194	61608	5	N	N	1	*	*,194,*
contig_218	60566	6	N	N	1	*	*,218,*
contig_437	59302	5	N	N	1	*	*,437,*
contig_285	58577	15	N	N	1	*	-281,285,-411,430
contig_201	56752	8	N	N	1	*	188,201
contig_824	55296	8	N	N	1	*	*,824,*
contig_261	53562	8	N	N	1	*	*,261,*
contig_674	51877	5	N	N	1	*	*,674,*
contig_339	47285	6	N	N	1	*	192,339,*
contig_367	47263	5	N	N	1	*	*,367,*
contig_264	47205	11	Y	N	1	*	264
contig_890	46112	4	N	N	1	*	*,890,*
contig_528	45818	14	N	N	1	*	*,528
contig_222	45775	4	N	N	1	*	*,222,*
contig_190	44188	5	N	N	1	*	*,277,190,*
contig_537	44071	6	N	N	1	*	*,537,*
contig_506	43757	4	N	N	1	*	*,506,*
contig_279	43422	16	N	N	1	*	411,279
contig_734	42657	9	N	N	1	*	*,734,200
contig_299	40728	6	N	N	1	*	150,299,*
contig_200	40298	8	N	Y	1	*	200
contig_478	39830	3	N	N	1	*	*,478,*
contig_181	39760	4	N	N	1	*	*,181,*
contig_852	39480	11	N	N	1	*	*,852,*
contig_211	39196	10	N	N	1	*	*,211
contig_209	38941	8	N	N	1	*	200,209,*
contig_842	38797	8	N	N	1	*	*,277,-189,842,-200
contig_327	38503	5	N	N	1	*	*,327,*
contig_599	38445	7	N	N	1	*	*,599,*
contig_560	37171	3	N	N	1	*	*,560,*
contig_869	36989	4	N	N	1	*	*,869,*
contig_868	35889	4	N	N	1	*	*,868,*
contig_423	35866	13	N	N	1	*	423,*
contig_797	35613	6	N	N	1	*	*,797,*
contig_639	35559	4	N	N	1	*	*,639,*
contig_650	34767	5	N	N	1	*	*,650,*
contig_893	34286	4	N	N	1	*	*,893,*
contig_297	33170	6	N	N	1	*	*,297,-150
contig_751	33063	4	N	N	1	*	*,751,*
contig_330	32277	4	N	N	1	*	*,330,*
contig_545	31909	12	N	N	1	*	*,545,*
contig_49	30657	30	Y	N	2	*	49
contig_758	30636	6	N	N	1	*	*,758,*
contig_859	30097	3	N	N	1	*	*,859,*
contig_894	29671	5	N	N	1	*	*,894,*
contig_829	29541	10	N	N	1	*	*,829,*
contig_765	29391	6	N	N	1	*	*,765,*
contig_705	29378	4	N	N	1	*	*,705,*
contig_572	29119	4	N	N	1	*	*,572,*
contig_861	29029	4	N	N	1	*	*,861,*
contig_721	28570	5	N	N	1	*	*,721,*
contig_826	28499	4	N	N	1	*	*,826,*
contig_12	28029	15	N	N	1	*	*,8,7,6,6,6,6,7,8,6,8,12
contig_898	26995	5	Y	N	1	*	898
contig_320	26292	3	N	Y	1	*	*,320
contig_369	25990	3	N	N	1	*	*,369,*
contig_281	25973	10	N	Y	1	*	281
contig_793	25756	5	N	N	1	*	*,793,*
contig_289	25750	4	N	N	1	*	*,289,*
contig_476	25689	4	N	N	1	*	*,476,*
contig_46	25516	41	N	N	2	*	-17,-17,-17,-17,-17,46,*
contig_217	25335	4	N	N	1	*	*,217,*
contig_889	25048	3	N	N	1	*	*,889,*
contig_871	24849	5	N	N	1	*	871,*
contig_203	24766	9	N	Y	1	*	203
contig_801	24055	3	N	N	1	*	*,801,*
contig_617	23678	3	N	N	1	*	*,617,*
contig_627	23488	5	N	N	1	*	*,627,*
contig_512	23457	6	N	N	1	*	*,512
contig_495	23386	3	N	N	1	*	*,495,*
contig_188	23325	8	N	Y	1	*	188
contig_328	23291	3	N	N	1	*	*,328,*
contig_393	23084	4	N	N	1	*	*,393,*
