#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_39	1169001	10	N	N	1	*	*,39,*
contig_4	1074922	22	N	N	4	*	-2,-517,4,265
contig_58	593426	22	N	N	4	*	99,98,100,58
contig_78	325618	18	N	N	3	*	78,527
contig_30	279929	5	N	N	1	*	*,30,27,28
contig_21	246318	13	N	N	2	*	21
contig_54	213342	9	N	N	1	*	-81,54,*
contig_242	203686	14	N	N	2	*	-86,-81,83,242
contig_518	163222	18	N	N	3	*	2,518
contig_186	157161	9	N	N	1	*	*,186,*
contig_557	153277	5	N	N	1	*	557,*
contig_36	148782	13	N	N	2	*	36,-86
contig_110	147672	12	N	N	2	*	110,-139
contig_456	147299	5	N	N	1	*	*,456,*
contig_32	145701	7	N	N	1	*	139,32,*
contig_555	144532	4	N	N	1	*	*,555,*
contig_307	140306	13	N	N	2	*	*,307
contig_168	139745	22	N	N	4	*	168
contig_346	137995	5	N	N	1	*	*,346,*
contig_256	137977	8	N	N	2	*	*,256,*
contig_304	131853	7	N	N	1	*	*,304,*
contig_470	129937	4	N	N	1	*	*,470,*
contig_560	124631	5	N	N	1	*	*,560,*
contig_26	118526	4	N	N	1	*	*,26,-558,*
contig_200	117259	19	N	N	3	*	200,-527
contig_416	115192	5	N	N	1	*	*,416,*
contig_550	114031	5	N	N	1	*	*,550,*
contig_183	109720	4	N	N	1	*	*,183,*
contig_13	109542	7	N	N	2	*	13,*
contig_3	104717	10	N	N	2	*	-2,3,*
contig_540	104452	5	N	N	1	*	527,540,-558,*
contig_185	97225	5	N	N	1	*	*,185,*
contig_330	95873	4	N	N	1	*	*,330,*
contig_468	90150	4	N	N	1	*	*,468,*
contig_534	87952	4	N	N	1	*	*,534,*
contig_84	86071	10	N	N	1	*	84
contig_396	85839	4	N	N	1	*	*,396,*
contig_552	84203	5	N	N	1	*	*,552,*
contig_481	83707	14	N	N	2	*	*,481,*
contig_57	82504	6	N	N	1	*	*,57,*
contig_237	82335	23	N	N	3	*	237,-148
contig_297	80655	5	N	N	1	*	*,297,*
contig_124	80143	3	N	N	1	*	*,124,*
contig_25	79651	13	N	N	2	*	86,25,81
contig_354	78540	5	N	N	1	*	*,354,*
contig_486	77927	5	N	N	1	*	*,486,*
contig_214	77400	7	N	N	1	*	*,214,*
contig_276	75246	5	N	N	1	*	*,276,*
contig_483	74843	4	N	N	1	*	*,483,*
contig_384	74769	4	N	N	1	*	*,384,*
contig_220	74570	8	N	N	2	*	220
contig_6	72978	9	N	N	1	*	*,6,*
contig_217	72904	4	N	N	1	*	*,543,217,*
contig_135	72554	7	N	N	1	*	135,*
contig_484	71686	4	N	N	1	*	*,484,*
contig_234	71628	8	N	N	1	*	*,234,*
contig_528	70877	4	N	N	1	*	*,528,*
contig_48	70179	7	N	N	1	*	*,48,*
contig_172	69840	9	N	N	2	*	*,172,*
contig_179	69416	5	N	N	1	*	*,179,*
contig_136	68746	4	N	N	1	*	*,136,*
contig_145	68667	21	N	N	3	*	-148,145
contig_206	68143	4	N	N	1	*	*,206,*
contig_65	67500	3	N	N	1	*	*,65,*
contig_444	67369	5	N	N	1	*	*,444,*
contig_408	64675	9	N	N	2	*	*,408,*
contig_424	62573	9	N	N	1	*	424,139
contig_64	62056	5	N	N	1	*	*,64,*
contig_33	59370	9	N	N	1	*	-28,-27,33,*
contig_236	58736	7	N	N	2	*	236,*
contig_466	56961	9	N	N	2	*	*,466,*
contig_433	56934	5	N	N	1	*	433,*
contig_489	56267	4	N	N	1	*	*,489,*
contig_144	56020	5	N	N	1	*	*,144,*
contig_432	55040	6	N	N	1	*	*,432
contig_488	54583	4	N	N	1	*	*,488,*
contig_505	53595	3	N	N	1	*	*,505,*
contig_441	53528	4	N	N	1	*	*,441,*
contig_519	53437	4	N	N	1	*	*,519,*
contig_255	53246	4	N	N	1	*	*,255,*
contig_53	52984	7	N	N	1	*	53
contig_283	52651	7	N	N	1	*	*,283,*
contig_55	52470	5	N	N	1	*	*,55,*
contig_34	52408	4	N	N	1	*	-28,-27,34,*
contig_202	51926	8	N	N	2	*	*,202,*
contig_85	51345	8	N	N	1	*	85
contig_556	51080	9	Y	N	1	*	556
contig_296	48512	3	N	N	1	*	*,296,*
contig_52	47529	7	N	N	1	*	52
contig_8	47327	20	N	N	5	*	8,-7,-2,-1
contig_175	47271	14	N	N	2	*	-341,175,-545,-341
contig_277	46502	5	N	N	1	*	*,277,*
contig_514	45959	5	N	N	1	*	*,514,*
contig_139	45586	13	N	Y	2	*	139
contig_203	44698	3	N	N	1	*	*,203,*
contig_31	43959	6	N	N	1	*	29,31,*
contig_527	43933	19	N	Y	4	*	527
contig_270	43893	6	N	N	1	*	*,270
contig_460	43789	7	N	N	1	*	*,460,*
contig_128	43776	8	N	N	1	*	*,128,*
contig_447	43707	4	N	N	1	*	*,447,*
contig_482	43451	4	N	N	1	*	*,482,*
contig_9	43418	20	N	Y	4	*	9
contig_291	42722	5	N	N	1	*	*,291,*
contig_480	42495	4	N	N	1	*	*,480,*
contig_212	42397	5	N	N	1	*	*,212,*
contig_423	42388	7	N	N	1	*	423,139
contig_533	42252	12	Y	N	1	*	533
contig_88	42026	7	N	Y	1	182	*,88,*
contig_66	41898	4	N	N	1	*	*,66,*
contig_87	41783	5	N	Y	1	182	*,87,*
contig_369	41645	5	N	N	1	*	*,369,*
contig_459	41350	4	N	N	1	*	*,459,*
contig_464	41278	4	N	N	1	*	*,464,*
contig_108	41232	7	N	N	1	*	*,108,*
contig_266	41107	6	N	Y	2	*	266
contig_387	39758	5	N	N	1	*	*,387,*
contig_324	39585	7	N	N	2	*	*,324,*
contig_357	39091	5	N	N	1	*	*,357,*
contig_558	38493	3	N	Y	1	*	*,558
contig_521	38458	7	N	N	1	*	*,521,*
contig_129	38336	8	N	N	2	*	*,129,530,*
contig_463	37542	6	N	N	1	*	*,463,*
contig_275	37281	4	N	N	1	*	*,275,*
contig_127	37186	5	N	N	1	*	526,127,458,458,458,458,458,458,458,458,458,458,458,458,*
contig_539	36314	3	N	N	1	*	*,539,*
contig_503	35848	4	N	N	1	*	*,503,*
contig_279	35422	4	N	N	1	*	*,279,*
contig_271	33796	5	N	N	1	*	271,*
contig_342	33644	7	N	N	1	*	*,342
contig_156	33208	5	N	N	1	*	*,156,*
contig_294	33060	3	N	N	1	*	*,294,*
contig_130	32774	10	N	N	2	*	*,130,530,*
contig_308	32724	4	N	N	1	*	*,308,*
contig_362	32319	6	N	N	1	*	*,362,*
contig_386	31743	3	N	N	1	*	*,386,*
contig_180	31585	5	N	N	1	*	*,180,*
contig_233	31212	6	N	N	1	*	545,233,*
contig_228	31105	3	N	N	1	*	*,228,*
contig_253	31074	3	N	N	1	*	*,253,*
contig_385	30727	5	N	N	1	*	*,385,*
contig_107	30624	6	N	N	1	*	*,107,*
contig_461	30273	6	N	N	1	*	*,461,*
contig_337	30225	17	N	N	3	*	341,337,-351
contig_119	29927	10	N	Y	2	*	*,119,*
contig_295	29540	3	N	N	1	*	*,295,*
contig_549	29354	4	N	N	1	*	*,549,*
contig_437	29061	4	N	N	1	*	*,437,*
contig_43	28773	12	N	N	1	*	*,43,*
contig_476	28772	3	N	N	1	*	*,476,*
