#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_357	1520443	64	N	N	5	*	-2268,357
contig_267	858590	17	N	N	1	*	*,267
contig_647	750374	12	N	N	1	*	*,647,*
contig_474	676271	52	N	N	4	*	2268,474
contig_476	605277	54	N	N	4	*	476,493
contig_1473	563621	12	N	N	1	*	-192,-186,1473,*
contig_624	478170	28	N	N	2	*	-194,-193,-192,-186,-184,624,2235
contig_595	445474	68	N	N	5	*	595
contig_135	439894	22	N	N	1	*	2235,135,1349
contig_278	382023	15	N	N	1	*	*,278
contig_622	323711	56	N	N	4	*	-877,622
contig_177	322998	7	N	N	1	*	*,177,*
contig_145	280983	19	N	N	1	*	*,145,1072
contig_320	260757	6	N	N	1	*	*,320,*
contig_188	248266	17	N	N	1	*	188,2333
contig_440	245612	19	N	N	1	*	440,-276
contig_731	238699	6	N	N	1	*	*,731,*
contig_179	223745	6	N	N	1	*	*,179,*
contig_2267	220865	57	N	N	4	*	2267,2268
contig_1375	218189	19	N	N	1	*	1375,-1256,-415
contig_304	213176	30	N	N	2	*	304,186,192
contig_2240	203364	7	N	N	1	*	-192,-186,-185,2240,*
contig_458	202868	11	N	N	1	*	*,458,*
contig_337	182389	8	N	N	1	*	*,337,*
contig_2256	157682	8	N	N	1	*	*,2256,*
contig_918	157179	13	N	N	1	*	*,918,-2333
contig_1232	151330	9	N	N	1	*	*,1232,*
contig_550	147545	12	N	N	1	*	*,550,186,192
contig_195	145515	22	N	N	2	*	298,195,276
contig_2367	141310	6	N	N	1	*	*,2367,*
contig_407	140002	5	N	N	1	*	*,407,-631,*
contig_846	139662	7	N	N	1	*	*,846,*
contig_1312	137716	8	N	N	1	*	*,1312,*
contig_1035	137551	7	N	N	1	*	*,1035,*
contig_988	132437	12	N	N	1	*	*,988,*
contig_1300	131378	7	N	N	1	*	*,1300,*
contig_275	128427	14	N	N	1	*	*,277,275
contig_2252	126837	7	N	N	1	*	*,2252,*
contig_473	122701	51	N	N	4	*	2268,473
contig_1556	122535	7	N	N	1	*	*,1556,*
contig_2255	122018	6	N	N	1	*	*,2255,*
contig_1449	119210	6	N	N	1	*	*,1449,*
contig_639	117325	7	N	N	1	*	*,639,*
contig_442	113165	18	N	N	1	*	442,*
contig_128	112408	30	Y	N	2	*	128
contig_2335	107489	6	N	N	1	*	*,2335,*
contig_1403	105188	11	N	N	1	*	-192,-186,-184,-184,1403,-298
contig_2269	104575	7	N	N	1	*	2269,*
contig_2310	102957	5	N	N	1	*	*,-2357,2310,*
contig_540	102902	10	N	N	2	*	*,540,*
contig_832	99326	5	N	N	1	*	*,832,*
contig_1107	94664	6	N	N	1	*	*,1107,*
contig_1408	92610	6	N	N	1	*	*,1408,*
contig_1970	89551	4	N	N	1	*	*,1970,*
contig_2278	87445	7	N	N	1	*	*,2278,*
contig_40	84740	12	N	N	1	*	33,5,5,5,5,5,5,5,5,5,5,5,5,40,*
contig_1074	83775	5	N	N	1	*	*,1074,*
contig_2362	82986	9	N	N	1	*	*,2362,*
contig_1457	82943	6	N	N	1	*	*,1457,*
contig_2288	82498	6	N	N	1	*	*,2288,*
contig_692	81207	7	N	N	1	*	*,692,*
contig_451	79926	8	N	N	1	*	*,451,*
contig_2271	78945	6	N	N	1	*	*,2271,*
contig_2298	78738	5	N	N	1	*	*,2298,*
contig_441	78294	7	N	N	1	*	*,441,*
contig_1142	78205	7	N	N	1	*	*,1142,*
contig_1059	76693	7	N	N	1	*	*,1059,*
contig_868	74997	6	N	N	1	*	*,868,*
contig_187	73902	11	N	N	1	*	-192,-186,-184,187
contig_2361	72290	5	N	N	1	*	*,2361,*
contig_1531	72003	7	N	N	1	*	*,1531,*
contig_1879	71313	6	N	N	1	*	*,1879,*
contig_2245	69866	4	N	N	1	*	*,2245,*
contig_1856	69584	7	N	N	1	*	*,1856,*
contig_1975	69526	4	N	N	1	*	*,1975,*
contig_478	69109	20	N	N	1	*	-662,478
contig_2174	68564	5	N	N	1	*	*,2174,*
contig_2261	68403	17	N	N	1	*	2261,436
contig_499	67977	45	N	N	4	*	494,499
contig_66	67860	17	N	N	1	*	5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,66,*
contig_1657	67793	3	N	N	1	*	*,1657,*
contig_296	67695	10	N	N	2	*	-1030,296,-415
contig_616	67407	7	N	N	1	*	*,616,*
contig_929	67179	7	N	N	1	*	*,929,*
contig_2334	66047	29	Y	N	2	*	2334
contig_2331	65879	8	N	N	1	*	*,2331,*
contig_1268	64355	7	N	N	1	*	*,1268,*
contig_1394	64124	6	N	N	1	*	*,1394,*
contig_2019	63963	6	N	N	1	*	*,2019,*
contig_1476	63903	8	N	N	1	*	*,1476,*
contig_1800	63768	4	N	N	1	*	*,1800,*
contig_182	62870	29	N	N	1	*	*,182,184,186,192,193
contig_1590	62521	6	N	N	1	*	*,1590,*
contig_1414	62133	4	N	N	1	*	*,1414,*
contig_1365	61831	5	N	N	1	*	*,1365,*
contig_1572	61151	5	N	N	1	*	*,1572,*
contig_941	61086	6	N	N	2	*	-298,941,2285,*
contig_663	60578	10	N	N	1	*	*,663,*
contig_556	60493	40	Y	N	3	*	556
contig_735	60198	8	N	N	1	*	*,735,*
contig_943	60067	18	N	N	2	*	-298,943,-1072
contig_1355	59342	5	N	N	1	*	*,1355,*
contig_2287	59268	6	N	N	1	*	*,2287,*
contig_945	58675	5	N	N	1	*	*,945,*
contig_1106	58354	7	N	N	1	*	*,1106,*
contig_2138	57851	7	N	N	1	*	*,2138,*
contig_1213	57820	5	N	N	1	*	*,1213,*
contig_736	57705	6	N	N	1	*	*,736,*
contig_2307	57348	5	N	N	1	*	*,2307,*
contig_1507	57308	5	N	N	1	*	*,1507,*
contig_958	57189	4	N	N	1	*	*,958,*
contig_1420	56594	6	N	N	1	*	*,1420,*
contig_1440	56285	6	N	N	1	*	*,1440,*
contig_1128	55958	6	N	N	1	*	*,1128,-1786,*
contig_613	55610	7	N	N	1	*	*,613,2357,*
contig_1031	55501	7	N	N	1	*	*,1031,*
contig_1479	55342	5	N	N	1	*	*,1479,*
contig_2241	54784	29	N	N	2	*	2241,-194
contig_1468	54466	3	N	N	1	*	*,1468,*
contig_1366	53893	6	N	N	1	*	1366,*
contig_788	53870	5	N	N	1	*	*,788,*
contig_1675	53543	3	N	N	1	*	*,1675,*
contig_308	52560	24	N	N	2	*	194,308
contig_1667	52514	8	N	N	1	*	*,1667
contig_1369	52258	6	N	N	1	*	*,1369,*
contig_309	51712	13	N	N	1	*	309
contig_1716	51706	8	N	N	1	*	*,1716,*
contig_1503	50766	5	N	N	1	*	*,1503,*
contig_1565	50399	4	N	N	1	*	*,1565,*
contig_151	49912	5	N	N	1	*	151,2325,*
contig_512	49546	6	N	N	1	*	512,-932,*
contig_298	49240	21	N	Y	2	*	298
contig_533	48706	4	N	N	1	*	*,533,*
