Antibiotic_Family	Gene	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD2_ita_i	CD3_ita_i	CD4_ita_i	CS1_ita_i	CS2_ita_i	CS3_ita_i	CS4_ita_i	DD1_ita_i	DD2_ita_i	DD3_ita_i	DD4_ita_i	DS1_ita_i	DS2_ita_i	DS3_ita_i	DS4_ita_i
Aminoglycoside	ant(2'')-Ia_1_X04555	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265751100973592	0	0	0	0.0478536238041918	0	0
Aminoglycoside	ant(2'')-Ia_10_HM367617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0324485848117585	0
Aminoglycoside	ant(2'')-Ia_11_HM367620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_12_HQ880250	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0797253302920777	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_13_DQ176450	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265751100973592	0	0	0	0	0	0.0309988607918659
Aminoglycoside	ant(2'')-Ia_14_DQ266447	0	0	0	0	0	0	0	0	0	0.0559115881239314	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_15_EF205594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03286180153391	0	0	0	0
Aminoglycoside	ant(2'')-Ia_16_HQ386848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_17_JTTZ01000034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03286180153391	0	0	0	0
Aminoglycoside	ant(2'')-Ia_19_GQ466184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_2_JF826500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_20_AY139599	0	0	0	0	0	0.0537905848618018	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0309988607918659
Aminoglycoside	ant(2'')-Ia_3_X74412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_4_AF458082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_5_AY139594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06225065306382	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_6_AJ871915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0309988607918659
Aminoglycoside	ant(2'')-Ia_7_DQ018384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_8_AY920928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(2'')-Ia_9_HM367610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(3'')-Ia_1_X02340	1.86560169021693	2.34116225084447	1.39696216607366	0.50545282507693	0.508727862389113	0.860649357788828	0.381571839403803	0.0448006815438082	0.455244047228838	0.39138111686752	0.14272077655326	0.380750764357159	2.66139656017652	2.33860968856761	1.5562663265955	1.70881367976332	2.6132915457562	1.86629132836348	2.17405518238782	1.98392709067942
Aminoglycoside	ant(3'')-Ii-aac(6')-IId_1_AF453998	0.0910049604983868	0	0	0	0.0953864741979587	0.0537905848618018	0	0	0.0758740078714731	0	0	0	0.180433665096713	0.132875550486796	0.12450130612764	0.03286180153391	0.104531661830248	0.0957072476083835	0.194691508870551	0.185993164751195
Aminoglycoside	ant(4')-Ib_1_AJ506108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(4')-IIa_1_M98270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(4')-IIb_1_AY114142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	ant(6)-Ia_1_AF330699	0.318517361744354	1.27699759136971	0.698481083036828	2.02181130030772	0.0317954913993196	0	0	0	0.455244047228838	0.39138111686752	2.33110601703658	0.533051070100023	0.405975746467605	0.398626651460389	0.68475718370202	1.01871584755121	0.470392478236116	6.07741022313236	0.713868865858686	0.216992025543061
Aminoglycoside	ant(6)-Ia_2_KF421157	1.86560169021693	2.55399518273942	8.38177299644194	3.03271695046158	0.0317954913993196	0.107581169723604	0	0.0672010223157123	0.606992062971785	1.34187811497435	3.66316659820034	1.06610214020005	0.631517827838497	1.19587995438117	1.15163708168067	2.3003261073737	0.731721632811736	9.71428563225093	1.39528914690561	1.20895557088277
Aminoglycoside	ant(6)-Ia_3_KF864551	1.13756200622984	3.19249397842427	2.79392433214731	5.55998107584623	0.0317954913993196	0.322743509170811	0	0.0224003407719041	0.682866070843258	2.23646352495726	15.3662702755677	5.0259100895145	0.405975746467605	0.186025770681515	0.902634469425389	1.57736647362768	0.731721632811736	10.3363827417054	1.84956933427023	1.64293962196889
Aminoglycoside	ant(6)-Ia_5_AB247327	0.364019841993547	0.851331727579806	1.39696216607366	3.03271695046158	0	0	0	0	0.379370039357365	0.223646352495726	0.99904543587282	0.533051070100023	0.180433665096713	0.212600880778874	0.21787728572337	0.690097832212111	0.470392478236116	3.78043628053115	0.648971696235169	0.185993164751195
Aminoglycoside	ant(6)-Ib_1_FN594949	1.3650744074758	0.851331727579806	5.58784866429462	1.01090565015386	0.0953864741979587	0.0806858772927027	0	0.0224003407719041	0.531118055100312	0.447292704991451	2.378679609221	0.685351375842887	0.586409411564318	0.7175279726287	0.68475718370202	1.67595187822941	1.35891160379322	4.16326527096468	1.3303919772821	1.14695784929904
Aminoglycoside	ant(9)-Ia_1_X02588	0.0455024802491934	0.851331727579806	0.698481083036828	3.03271695046158	0	0.0537905848618018	0	0	0.606992062971785	0.559115881239314	0.14272077655326	0.152300305742864	0.135325248822535	0.159450660584155	0.18675195919146	0.46006522147474	0.104531661830248	0.382828990433534	0.129794339247034	0.185993164751195
Aminoglycoside	ant(9)-Ia_2_M69221	0	0	0	0	0	0	0	0	0	0	0.09514718436884	0	0	0.0531502201947185	0.06225065306382	0	0	0	0	0
Aminoglycoside	aph(2'')-Ia_2_AP009486	0.0910049604983868	0.425665863789903	0.698481083036828	0	0	0.0537905848618018	0	0.0224003407719041	0.303496031485892	0.111823176247863	0.2378679609221	0.152300305742864	0.180433665096713	0.0265751100973592	0.15562663265955	0.39434161840692	0.104531661830248	0.382828990433534	0.0973457544352754	0.0929965823755977
Aminoglycoside	aph(2'')-Ia_3_AJ536195	0.13650744074758	0.638498795684855	0.698481083036828	0	0	0.0268952924309009	0	0	0	0	0.19029436873768	0	0.0451084162741783	0.0797253302920777	0.12450130612764	0.19717080920346	0.104531661830248	0.143560871412575	0.0973457544352754	0.0929965823755977
Aminoglycoside	aph(2'')-Ib_1_AF337947	0	0	0	0	0	0	0	0	0	0.111823176247863	0.66603029058188	0.0761501528714319	0	0	0	0.0657236030678201	0	1.19634059510479	0.0973457544352754	0.0929965823755977
Aminoglycoside	aph(2'')-Ib_2_AF207840	0.0455024802491934	0	0	0	0	0	0	0	0	0.0559115881239314	0.38058873747536	0.152300305742864	0	0.0265751100973592	0.0933759795957299	0.03286180153391	0	1.33990146651737	0.0648971696235169	0.0619977215837318
Aminoglycoside	aph(2'')-Ib_3_KF652098	0	0.212832931894952	0	0	0	0	0	0	0	0.111823176247863	0.38058873747536	0	0	0.0531502201947185	0.06225065306382	0	0.104531661830248	0.622097109454493	0.0324485848117585	0
Aminoglycoside	aph(2'')-Ic_1_U51479	0.0910049604983868	0.638498795684855	15.3665838268102	0	0	0	0	0	0	0.223646352495726	0.85632465931956	0.152300305742864	0	0.159450660584155	0.12450130612764	0.13144720613564	0.156797492745372	0.669950733258685	0.0648971696235169	0.0309988607918659
Aminoglycoside	aph(2'')-Id_1_AF016483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0324485848117585	0
Aminoglycoside	aph(2'')-Ie_1_AY743255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	aph(2'')-If_1_KF652097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03286180153391	0	0.0478536238041918	0	0
Aminoglycoside	aph(2'')-If_2_AY701528	0.0910049604983868	0	0	0	0	0	0	0	0	0.279557940619657	0.42816232965978	0.228450458614296	0.0451084162741783	0.0265751100973592	0.06225065306382	0	0	0.191414495216767	0.0973457544352754	0.185993164751195
Aminoglycoside	aph(2'')-Ig_1_CP004067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside	aph(2'')-Ih_1_KF652096	0.0910049604983868	0	0	0	0	0	0	0	0	0.111823176247863	1.23691339679492	0.228450458614296	0	0	0.06225065306382	0.03286180153391	0.052265830915124	0.574243485650301	0.292037263305826	0
